ignore	id	layer	type	porosity
81x81 uint16	'B17_40mi_sp1'	0	"Keyhole porosity"	0.140000000000000
81x81 uint16	'B17_40mi_sp2'	0	"Lack of fusion"	0.760000000000000
81x81 uint16	'B17_40mi_sp3'	0	"Keyhole porosity"	5.12000000000000
81x81 uint16	'B17_40mi_sp4'	0	"Keyhole porosity"	2.77000000000000
81x81 uint16	'B17_40mi_sp5'	0	"Keyhole porosity"	3.31000000000000
81x81 uint16	'B17_40mi_sp6'	0	"Keyhole porosity"	3.50000000000000
81x81 uint16	'B11_sp1'	1	"Lack of fusion"	0.780000000000000
81x81 uint16	'B11_sp10'	1	"Lack of fusion"	0.440000000000000
81x81 uint16	'B11_sp11'	1	"Lack of fusion"	1.67000000000000
81x81 uint16	'B11_sp12'	1	"Lack of fusion"	4.51000000000000
81x81 uint16	'B11_sp13'	1	"Keyhole porosity"	0.300000000000000
81x81 uint16	'B11_sp14'	1	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp15'	1	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp16'	1	"Lack of fusion"	0.0400000000000000
81x81 uint16	'B11_sp17'	1	"Lack of fusion"	0.120000000000000
81x81 uint16	'B11_sp18'	1	"Lack of fusion"	0.260000000000000
81x81 uint16	'B11_sp2'	1	"Lack of fusion"	5.95000000000000
81x81 uint16	'B11_sp3'	1	"Lack of fusion"	14.3000000000000
81x81 uint16	'B11_sp4'	1	"Lack of fusion"	19.4000000000000
81x81 uint16	'B11_sp5'	1	"Lack of fusion"	27.3000000000000
81x81 uint16	'B11_sp6'	1	"Lack of fusion"	32.1000000000000
81x81 uint16	'B11_sp7'	1	"Keyhole porosity"	0.0200000000000000
81x81 uint16	'B11_sp8'	1	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp9'	1	"Lack of fusion"	0.0900000000000000
81x81 uint16	'B17_40mi_sp1'	1	"Keyhole porosity"	0.140000000000000
81x81 uint16	'B17_40mi_sp2'	1	"Lack of fusion"	0.760000000000000
81x81 uint16	'B17_40mi_sp3'	1	"Keyhole porosity"	5.12000000000000
81x81 uint16	'B17_40mi_sp4'	1	"Keyhole porosity"	2.77000000000000
81x81 uint16	'B17_40mi_sp5'	1	"Keyhole porosity"	3.31000000000000
81x81 uint16	'B17_40mi_sp6'	1	"Keyhole porosity"	3.50000000000000
81x81 uint16	'B17_80mi_sp1'	1	"Lack of fusion"	5.61000000000000
81x81 uint16	'B17_80mi_sp2'	1	"Lack of fusion"	11.7000000000000
81x81 uint16	'B17_80mi_sp3'	1	"Keyhole porosity"	6.79000000000000
81x81 uint16	'B17_80mi_sp4'	1	"Keyhole porosity"	2.19000000000000
