type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,3,0.8473433583959901,0.653448275862069,0.41379310344827586,0.6
scatter,none,1,3,5,True,5,0.8638659147869674,0.5931034482758621,0.3333333333333333,0.6
scatter,none,1,3,5,True,10,0.8331140350877193,0.4931034482758621,0.25,0.4
scatter,none,1,3,5,True,15,0.8896992481203008,0.5517241379310345,0.30303030303030304,0.5
scatter,none,1,3,10,True,3,0.924780701754386,0.7827586206896553,0.8571428571428571,0.6
scatter,none,1,3,10,True,5,0.9270363408521304,0.7827586206896553,0.8571428571428571,0.6
scatter,none,1,3,10,True,10,0.9432142857142859,0.7577586206896553,0.8461538461538461,0.55
scatter,none,1,3,10,True,15,0.9557957393483709,0.7077586206896551,0.8181818181818182,0.45
scatter,none,1,3,20,True,3,0.909780701754386,0.7482758620689656,0.6666666666666666,0.6
scatter,none,1,3,20,True,5,0.9603070175438596,0.756896551724138,0.7058823529411765,0.6
scatter,none,1,3,20,True,10,0.9690664160401005,0.756896551724138,0.7058823529411765,0.6
scatter,none,1,3,20,True,15,0.9821553884711779,0.7655172413793104,0.75,0.6
scatter,none,1,3,40,True,3,0.9236403508771931,0.7318965517241378,0.6875,0.55
scatter,none,1,3,40,True,5,0.9597368421052632,0.7491379310344828,0.7857142857142857,0.55
scatter,none,1,3,40,True,10,0.9858333333333335,0.7155172413793104,0.7142857142857143,0.5
scatter,none,1,3,40,True,15,0.9866666666666667,0.6982758620689655,0.625,0.5
scatter,none,1,3,80,True,3,0.9180701754385966,0.7482758620689656,0.6666666666666666,0.6
scatter,none,1,3,80,True,5,0.945,0.7310344827586207,0.6,0.6
scatter,none,1,3,80,True,10,0.9766666666666666,0.7146551724137931,0.6111111111111112,0.55
scatter,none,1,3,80,True,15,0.975,0.7396551724137932,0.631578947368421,0.6
scatter,none,1,3,5,False,3,0.8685213032581454,0.6448275862068966,0.4,0.6
scatter,none,1,3,5,False,5,0.8720989974937344,0.5758620689655172,0.3157894736842105,0.6
