type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc
scatter,none,1,3,5,True,5,0.7492887946655069,0.09076053060346122
scatter,none,1,3,10,True,5,0.8683490976299195,0.06752949832748474
scatter,none,1,3,20,True,5,0.8957191780821917,0.07431737926892554
scatter,none,1,3,40,True,5,0.9072207726317316,0.05464508349385801
scatter,none,1,5,5,True,5,0.6716967456693486,0.04594689897444434
scatter,none,1,5,10,True,5,0.8201873595709213,0.12546330862537908
scatter,none,1,5,20,True,5,0.9033132202652752,0.07425369878695794
scatter,none,1,5,40,True,5,0.9003026020149308,0.06607023093574312
scatter,none,1,7,5,True,5,0.8475864318330071,0.09542572553885703
scatter,none,1,7,10,True,5,0.8763598970790751,0.04195217120104603
scatter,none,1,7,20,True,5,0.9051632601290136,0.044664145556654954
scatter,none,1,7,40,True,5,0.8855231209683264,0.08672148731412221
scatter,none,3,3,5,True,5,0.7806126331811264,0.05198460952185697
scatter,none,3,3,10,True,5,0.8549204537218236,0.0658213689430001
scatter,none,3,3,20,True,5,0.8524452779589765,0.08923644430903306
scatter,none,3,3,40,True,5,0.8974469087482786,0.06663511487437004
scatter,none,3,5,5,True,5,0.8403991809813729,0.021417789255967178
scatter,none,3,5,10,True,5,0.8446491991012539,0.047919168371740664
scatter,none,3,5,20,True,5,0.855757592230195,0.061448211617490096
scatter,none,3,5,40,True,5,0.8065992607088498,0.11547696289079683
scatter,none,3,7,5,True,5,0.7694507864028411,0.05391572750509361
scatter,none,3,7,10,True,5,0.8073820395738205,0.07502733019695798
scatter,none,3,7,20,True,5,0.853166449228093,0.08493025618868491
scatter,none,3,7,40,True,5,0.8695223599333186,0.07195411365514709
scatter,none,5,3,5,True,5,0.8442034500253678,0.028239335181153673
scatter,none,5,3,10,True,5,0.8290959991302456,0.06658115517674637
scatter,none,5,3,20,True,5,0.8518527578459085,0.047361667733442483
scatter,none,5,3,40,True,5,0.8484299122997754,0.10123257355015453
scatter,none,5,5,5,True,5,0.795568783068783,0.021385167772615662
scatter,none,5,5,10,True,5,0.8921731173443502,0.03996636095316909
scatter,none,5,5,20,True,5,0.8635437051532943,0.04627866984938909
scatter,none,5,5,40,True,5,0.8792953178227151,0.08862264102232373
scatter,none,5,7,5,True,5,0.8389822062767267,0.06056674392945463
scatter,none,5,7,10,True,5,0.8306253170979199,0.0606329009031638
scatter,none,5,7,20,True,5,0.8862026165108358,0.055067696818626145
scatter,none,5,7,40,True,5,0.854990215264188,0.11079272040303843
scatter,none,7,3,5,True,5,0.6871928680147859,0.06556781044110503
scatter,none,7,3,10,True,5,0.8659590853084003,0.03528041812875477
scatter,none,7,3,20,True,5,0.8509848155396101,0.07858235711427143
scatter,none,7,3,40,True,5,0.8961685511343045,0.05798602343467159
scatter,none,7,5,5,True,5,0.8537209175907806,0.05416182489725686
scatter,none,7,5,10,True,5,0.8525041675726607,0.04964865285926066
scatter,none,7,5,20,True,5,0.8782353047764007,0.05086225139129968
scatter,none,7,5,40,True,5,0.8751739508588823,0.08701329536457121
scatter,none,7,7,5,True,5,0.8427058418496773,0.08430347585546168
scatter,none,7,7,10,True,5,0.831177973472494,0.08474254056313685
scatter,none,7,7,20,True,5,0.8531519533231862,0.08254759113170347
scatter,none,7,7,40,True,5,0.8982478074943827,0.07148204821033458
spatstat,none,1,3,5,True,5,0.9346443067333479,0.04591883558047386
spatstat,none,1,3,10,True,5,0.9151708704790897,0.041882249939707066
spatstat,none,1,3,20,True,5,0.9077507791548886,0.055245820883959046
spatstat,none,1,3,40,True,5,0.9039066463723998,0.07389322597358278
spatstat,none,1,5,5,True,5,0.8379240052185256,0.060982901146056125
spatstat,none,1,5,10,True,5,0.9346515546858013,0.0495320566528229
spatstat,none,1,5,20,True,5,0.9203830542871639,0.06284375940996716
spatstat,none,1,5,40,True,5,0.9081892802783214,0.07754179607018771
spatstat,none,1,7,5,True,5,0.8463932376603609,0.08788344907174575
spatstat,none,1,7,10,True,5,0.8930229397695151,0.059040021210119496
spatstat,none,1,7,20,True,5,0.9225212002609263,0.03914071593675871
spatstat,none,1,7,40,True,5,0.9181126331811263,0.0708637087006575
spatstat,none,3,3,5,True,5,0.7105521127781402,0.07334959733597954
spatstat,none,3,3,10,True,5,0.7719685438863519,0.0624517454196811
spatstat,none,3,3,20,True,5,0.7950414945277959,0.06613254376118609
spatstat,none,3,3,40,True,5,0.7614463289120824,0.0711412654807248
spatstat,none,3,5,5,True,5,0.7410777705298253,0.03998555575025313
spatstat,none,3,5,10,True,5,0.78799920272523,0.032163456710032665
spatstat,none,3,5,20,True,5,0.8173679060665362,0.035833867561047235
spatstat,none,3,5,40,True,5,0.8108257229832573,0.035363572091008676
spatstat,none,3,7,5,True,5,0.7644931869246938,0.04880638668284494
spatstat,none,3,7,10,True,5,0.8654707545118505,0.057405331836503336
spatstat,none,3,7,20,True,5,0.8283775458432994,0.08442501307650163
spatstat,none,3,7,40,True,5,0.8039727839385374,0.06200199075429929
spatstat,none,5,3,5,True,5,0.7229343335507719,0.032113610474876486
spatstat,none,5,3,10,True,5,0.773326628977314,0.03746948303592874
spatstat,none,5,3,20,True,5,0.8023265927375517,0.05761577256322119
spatstat,none,5,3,40,True,5,0.800617887946655,0.03423679580154466
spatstat,none,5,5,5,True,5,0.7094930057258824,0.06678016906053588
spatstat,none,5,5,10,True,5,0.7825659563673261,0.06176262077209924
spatstat,none,5,5,20,True,5,0.7911321301732261,0.06855734359817184
spatstat,none,5,5,40,True,5,0.8226172356309343,0.0726733278605771
spatstat,none,5,7,5,True,5,0.6852141769949989,0.05434823653904894
spatstat,none,5,7,10,True,5,0.8006042980358048,0.058445022271460194
spatstat,none,5,7,20,True,5,0.8254330651590924,0.048857317385353566
spatstat,none,5,7,40,True,5,0.8594920997318258,0.052047505658933055
spatstat,none,7,3,5,True,5,0.6987442922374429,0.04033376933547381
spatstat,none,7,3,10,True,5,0.7548407262448359,0.05330625431017479
spatstat,none,7,3,20,True,5,0.7681543089077335,0.07712273482062107
spatstat,none,7,3,40,True,5,0.8137031601072697,0.0844192550776443
spatstat,none,7,5,5,True,5,0.675440313111546,0.041279202962077426
spatstat,none,7,5,10,True,5,0.6963370660288468,0.08532635933763137
