type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc
scatter,none,1,3,5,True,5,0.8113471177944863,0.15598656950565992
scatter,none,1,3,10,True,5,0.8947807017543861,0.13957711601208317
scatter,none,1,3,20,True,5,0.9217105263157895,0.057214908077975524
scatter,none,1,3,40,True,5,0.953377192982456,0.035452489894287044
scatter,none,1,5,5,True,5,0.8953508771929825,0.08209952277878824
scatter,none,1,5,10,True,5,0.8842731829573935,0.1080847517150631
scatter,none,1,5,20,True,5,0.892687969924812,0.09034935986406632
scatter,none,1,5,40,True,5,0.9100438596491228,0.0644817992267383
scatter,none,1,7,5,True,5,0.9136842105263158,0.08240125086082581
scatter,none,1,7,10,True,5,0.9078508771929824,0.09377664800300876
scatter,none,1,7,20,True,5,0.892280701754386,0.12194082053156506
scatter,none,1,7,40,True,5,0.8967731829573935,0.08249030637619585
scatter,none,3,3,5,True,5,0.8652694235588972,0.025562347917790263
scatter,none,3,3,10,True,5,0.9015288220551378,0.046919548248991076
scatter,none,3,3,20,True,5,0.9723997493734335,0.023388953049016867
scatter,none,3,3,40,True,5,0.9226441102756893,0.05514666354057755
scatter,none,3,5,5,True,5,0.8149874686716793,0.09623553825705695
scatter,none,3,5,10,True,5,0.8119987468671679,0.07412157823805594
scatter,none,3,5,20,True,5,0.8150062656641606,0.08039208008042464
scatter,none,3,5,40,True,5,0.9538032581453635,0.024207485721051112
scatter,none,3,7,5,True,5,0.7751691729323309,0.11386705203398362
scatter,none,3,7,10,True,5,0.7958583959899749,0.10353582112118054
scatter,none,3,7,20,True,5,0.8174812030075188,0.15276650758933952
scatter,none,3,7,40,True,5,0.9205701754385966,0.08611743540552555
scatter,none,5,3,5,True,5,0.8661654135338346,0.09778650045948376
scatter,none,5,3,10,True,5,0.9488659147869674,0.03493155478056252
scatter,none,5,3,20,True,5,0.9499436090225564,0.04464496279605247
scatter,none,5,3,40,True,5,0.9487844611528822,0.03539828210542464
scatter,none,5,5,5,True,5,0.8437468671679198,0.11874678484674434
scatter,none,5,5,10,True,5,0.9175062656641604,0.05337698079232782
scatter,none,5,5,20,True,5,0.943358395989975,0.04134603963803596
scatter,none,5,5,40,True,5,0.9532142857142858,0.02804222197244589
scatter,none,5,7,5,True,5,0.8653508771929825,0.06634502279645017
scatter,none,5,7,10,True,5,0.8794360902255638,0.061372903604941145
scatter,none,5,7,20,True,5,0.926610275689223,0.03304436431530242
scatter,none,5,7,40,True,5,0.947280701754386,0.040985334328757325
scatter,none,7,3,5,True,5,0.837625313283208,0.11398300884666662
scatter,none,7,3,10,True,5,0.9398621553884713,0.04491734242281957
scatter,none,7,3,20,True,5,0.9457769423558897,0.043297196476138305
scatter,none,7,3,40,True,5,0.9429511278195488,0.042573092447890475
scatter,none,7,5,5,True,5,0.8874624060150376,0.07516624163902584
scatter,none,7,5,10,True,5,0.9260401002506266,0.049765466643201854
scatter,none,7,5,20,True,5,0.9325250626566415,0.041503469951044744
scatter,none,7,5,40,True,5,0.9420175438596491,0.04658415076496592
scatter,none,7,7,5,True,5,0.8406328320802003,0.15165938174468618
scatter,none,7,7,10,True,5,0.933295739348371,0.049657929854401255
scatter,none,7,7,20,True,5,0.924780701754386,0.047861911185416675
scatter,none,7,7,40,True,5,0.9381954887218045,0.047672462951330256
spatstat,none,1,3,5,True,5,0.9775,0.042946995755750395
spatstat,none,1,3,10,True,5,0.9791666666666667,0.03763863263545405
spatstat,none,1,3,20,True,5,0.9808333333333333,0.03628590176179541
spatstat,none,1,3,40,True,5,0.9641666666666666,0.07166666666666671
spatstat,none,1,5,5,True,5,0.9452443609022556,0.06648022741240471
spatstat,none,1,5,10,True,5,0.9936591478696742,0.007782994050377647
spatstat,none,1,5,20,True,5,0.9649999999999999,0.07000000000000006
spatstat,none,1,5,40,True,5,0.9824999999999999,0.03500000000000001
spatstat,none,1,7,5,True,5,0.9392481203007519,0.09610227281146841
spatstat,none,1,7,10,True,5,0.9433333333333334,0.07118052168020875
spatstat,none,1,7,20,True,5,0.9983333333333334,0.0033333333333333214
spatstat,none,1,7,40,True,5,0.9974999999999999,0.005000000000000026
spatstat,none,3,3,5,True,5,0.61781328320802,0.12042087126518954
spatstat,none,3,3,10,True,5,0.7603195488721803,0.08524414007242422
spatstat,none,3,3,20,True,5,0.7392167919799497,0.10765810207512812
spatstat,none,3,3,40,True,5,0.7570676691729323,0.09597630688204677
spatstat,none,3,5,5,True,5,0.778201754385965,0.12613257302229178
spatstat,none,3,5,10,True,5,0.7562907268170426,0.15593363997750034
spatstat,none,3,5,20,True,5,0.8947180451127821,0.06996996693771274
spatstat,none,3,5,40,True,5,0.8573433583959899,0.12740913180841054
spatstat,none,3,7,5,True,5,0.7747055137844612,0.10949770533358172
spatstat,none,3,7,10,True,5,0.8762844611528822,0.1103547648815946
spatstat,none,3,7,20,True,5,0.847061403508772,0.13120074300324863
spatstat,none,3,7,40,True,5,0.8639661654135338,0.11807569284476421
