type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc
scatter,none,1,3,5,True,5,0.7799637239265722,0.8100414078674948
scatter,none,1,3,10,True,5,0.7867873784282453,0.8910455486542443
scatter,none,1,3,20,True,5,0.7984035400444068,0.8426501035196687
scatter,none,1,3,40,True,5,0.8573599774838165,0.900103519668737
scatter,none,1,5,5,True,5,0.7956703255464865,0.7907608695652175
scatter,none,1,5,10,True,5,0.8479219438971761,0.8643892339544513
scatter,none,1,5,20,True,5,0.818302217218626,0.8633540372670807
scatter,none,1,5,40,True,5,0.8247990743346781,0.8545548654244306
scatter,none,1,7,5,True,5,0.7501516715139006,0.7714803312629399
scatter,none,1,7,10,True,5,0.7882384213653563,0.8605072463768115
scatter,none,1,7,20,True,5,0.8117021609281672,0.7634575569358178
scatter,none,1,7,40,True,5,0.8173374613003096,0.8545548654244306
scatter,none,3,3,5,True,5,0.6776276698877318,0.7148033126293996
scatter,none,3,3,10,True,5,0.6624417550114144,0.7417184265010353
scatter,none,3,3,20,True,5,0.7395643743940956,0.865424430641822
scatter,none,3,3,40,True,5,0.7954811270600743,0.9039855072463767
scatter,none,3,5,5,True,5,0.6657394377208619,0.6187888198757765
scatter,none,3,5,10,True,5,0.6312787315883291,0.6516563146997929
scatter,none,3,5,20,True,5,0.7845889232886136,0.8307453416149069
scatter,none,3,5,40,True,5,0.7874253369609406,0.7880434782608696
scatter,none,3,7,5,True,5,0.5998952372017387,0.6299171842650104
scatter,none,3,7,10,True,5,0.6613222003314883,0.6943581780538302
scatter,none,3,7,20,True,5,0.7337680207649246,0.7851966873706004
scatter,none,3,7,40,True,5,0.7550192325734122,0.7782091097308489
scatter,none,5,3,5,True,5,0.8106631328767552,0.8396739130434783
scatter,none,5,3,10,True,5,0.7692685367607968,0.8237577639751553
scatter,none,5,3,20,True,5,0.7668230290521313,0.8416149068322982
scatter,none,5,3,40,True,5,0.7910513806798638,0.8486024844720497
scatter,none,5,5,5,True,5,0.6717351533915001,0.6781832298136647
scatter,none,5,5,10,True,5,0.6158285642805768,0.7782091097308489
scatter,none,5,5,20,True,5,0.7247756199768585,0.8247929606625258
scatter,none,5,5,40,True,5,0.7608077680833099,0.8693064182194616
scatter,none,5,7,5,True,5,0.6817869093410891,0.7911490683229814
scatter,none,5,7,10,True,5,0.7008365387622353,0.8328157349896481
scatter,none,5,7,20,True,5,0.755747881289677,0.8605072463768115
scatter,none,5,7,40,True,5,0.7324451949838947,0.8317805383022774
scatter,none,7,3,5,True,5,0.8021382556212278,0.8405797101449276
scatter,none,7,3,10,True,5,0.7878318791631485,0.8524844720496896
scatter,none,7,3,20,True,5,0.7917034118272508,0.8219461697722568
scatter,none,7,3,40,True,5,0.8150404978578353,0.7851966873706004
scatter,none,7,5,5,True,5,0.6832246614754354,0.6344461697722568
scatter,none,7,5,10,True,5,0.6835835131500766,0.8297101449275363
scatter,none,7,5,20,True,5,0.7573208868874504,0.7476708074534161
scatter,none,7,5,40,True,5,0.790926290771492,0.8356625258799173
scatter,none,7,7,5,True,5,0.6745137129812054,0.7334368530020704
scatter,none,7,7,10,True,5,0.6467163899052444,0.6940993788819876
scatter,none,7,7,20,True,5,0.7457203615098351,0.8188405797101449
scatter,none,7,7,40,True,5,0.7539590955999624,0.8436853002070392
spatstat,none,1,3,5,True,5,0.7165533039372048,0.7888198757763976
spatstat,none,1,3,10,True,5,0.7412984332488977,0.8188405797101449
spatstat,none,1,3,20,True,5,0.8149107170778997,0.859472049689441
spatstat,none,1,3,40,True,5,0.7846233230134159,0.8317805383022774
spatstat,none,1,5,5,True,5,0.7264299340150733,0.7558229813664596
spatstat,none,1,5,10,True,5,0.745879851143009,0.7960662525879917
spatstat,none,1,5,20,True,5,0.7990227350908465,0.8258281573498965
spatstat,none,1,5,40,True,5,0.7972792944929168,0.859472049689441
spatstat,none,1,7,5,True,5,0.745417018482034,0.6902173913043479
spatstat,none,1,7,10,True,5,0.8019279482127779,0.8574016563146998
spatstat,none,1,7,20,True,5,0.810335553679207,0.8426501035196687
spatstat,none,1,7,40,True,5,0.8034790630765862,0.8377329192546584
spatstat,none,3,3,5,True,5,0.5255089595646872,0.5526656314699792
spatstat,none,3,3,10,True,5,0.5742236607561685,0.6506211180124224
spatstat,none,3,3,20,True,5,0.6425884229289801,0.6684782608695652
spatstat,none,3,3,40,True,5,0.7145510835913313,0.7290372670807452
spatstat,none,3,5,5,True,5,0.6142805766644776,0.6348343685300206
spatstat,none,3,5,10,True,5,0.6492963692654095,0.6972049689440993
spatstat,none,3,5,20,True,5,0.7113722362948369,0.7129917184265011
spatstat,none,3,5,40,True,5,0.7137880351502643,0.7606107660455487
spatstat,none,3,7,5,True,5,0.6933905619664134,0.6814182194616978
