type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc
scatter,none,1,3,5,True,5,0.9358715483234714,0.9227761485826003
scatter,none,1,3,5,True,7,0.9410663214990137,0.9265232974910393
scatter,none,1,3,5,True,9,0.9475197238658778,0.9398826979472141
scatter,none,1,3,5,True,11,0.9406052761341224,0.9436298468556532
scatter,none,1,3,5,True,13,0.9514336785009864,0.9454219615509938
scatter,none,1,3,10,True,5,0.9813325936883629,0.9895731508634734
scatter,none,1,3,10,True,7,0.9772793392504932,0.9840338872596938
scatter,none,1,3,10,True,9,0.9723237179487179,0.983545128706419
scatter,none,1,3,10,True,11,0.9763128698224852,0.9786575431736722
scatter,none,1,3,10,True,13,0.9724987672583826,0.9750733137829912
scatter,none,1,3,20,True,5,0.9788708086785011,0.9925057021831215
scatter,none,1,3,20,True,7,0.983590976331361,0.9868035190615836
scatter,none,1,3,20,True,9,0.9815742110453648,0.9830563701531444
scatter,none,1,3,20,True,11,0.9795463510848126,0.9838709677419355
scatter,none,1,3,20,True,13,0.9768491124260356,0.9861518409905508
scatter,none,1,3,40,True,5,0.987340976331361,0.9923427826653632
scatter,none,1,3,40,True,7,0.9897078402366863,0.9933202997719126
scatter,none,1,3,40,True,9,0.989116124260355,0.991365265558814
scatter,none,1,3,40,True,11,0.9895327909270216,0.9885956337569242
scatter,none,1,3,40,True,13,0.9881077416173569,0.9882697947214076
scatter,none,1,3,80,True,5,0.9789854536489152,0.9949494949494949
scatter,none,1,3,80,True,7,0.9761797337278108,0.9925057021831215
scatter,none,1,3,80,True,9,0.9864965483234714,0.98989898989899
scatter,none,1,3,80,True,11,0.9861686390532546,0.9897360703812317
scatter,none,1,3,80,True,13,0.9846018244575937,0.988595633756924
scatter,none,1,5,5,True,5,0.9622657790927021,0.9688823721081785
scatter,none,1,5,5,True,7,0.9665877712031559,0.9618768328445748
scatter,none,1,5,5,True,9,0.9724765779092703,0.9773541870316064
scatter,none,1,5,5,True,11,0.9698680966469428,0.977842945584881
