type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,5,0.9378718588322247,0.7945601851851851,0.6216216216216216,0.71875
scatter,none,1,3,10,True,5,0.9813183665927567,0.8564814814814815,0.8571428571428571,0.75
scatter,none,1,3,20,True,5,0.9887172025129342,0.8859953703703703,0.9615384615384616,0.78125
scatter,none,1,3,40,True,5,0.9913243717664451,0.9033564814814815,0.8709677419354839,0.84375
scatter,none,1,5,5,True,5,0.9625711382113822,0.8645833333333333,0.7428571428571429,0.8125
scatter,none,1,5,10,True,5,0.9627854767184034,0.8784722222222222,0.8125,0.8125
scatter,none,1,5,20,True,5,0.9534044715447155,0.8269675925925927,0.7666666666666667,0.71875
scatter,none,1,5,40,True,5,0.9593583702882483,0.8362268518518519,0.8214285714285714,0.71875
scatter,none,1,7,5,True,5,0.9317244087213599,0.8049768518518519,0.8076923076923077,0.65625
scatter,none,1,7,10,True,5,0.9314223022912047,0.8206018518518519,0.8148148148148148,0.6875
scatter,none,1,7,20,True,5,0.9278640059127865,0.8206018518518519,0.8148148148148148,0.6875
scatter,none,1,7,40,True,5,0.9390650406504065,0.8049768518518519,0.8076923076923077,0.65625
scatter,none,3,3,5,True,5,0.826803861788618,0.8038194444444444,0.6571428571428571,0.71875
scatter,none,3,3,10,True,5,0.8749727457501848,0.8333333333333333,0.7272727272727273,0.75
scatter,none,3,3,20,True,5,0.897510162601626,0.7552083333333334,0.6785714285714286,0.59375
scatter,none,3,3,40,True,5,0.9348064486326683,0.861111111111111,0.8888888888888888,0.75
scatter,none,3,5,5,True,5,0.8290405580192166,0.7164351851851852,0.5625,0.5625
scatter,none,3,5,10,True,5,0.7905672579453067,0.6568287037037037,0.5652173913043478,0.40625
scatter,none,3,5,20,True,5,0.8615867516629712,0.8159722222222222,0.7857142857142857,0.6875
scatter,none,3,5,40,True,5,0.9494387472283814,0.8518518518518519,0.8275862068965517,0.75
scatter,none,3,7,5,True,5,0.7743897819660015,0.6394675925925926,0.6111111111111112,0.34375
