type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,5,0.6266666666666667,0.5138888888888888,0.25,0.2777777777777778
scatter,none,1,3,10,True,5,0.7899999999999999,0.7444444444444445,0.7142857142857143,0.5555555555555556
scatter,none,1,3,20,True,5,0.8266666666666665,0.8083333333333332,0.8,0.6666666666666666
scatter,none,1,3,40,True,5,0.8016666666666665,0.7444444444444445,0.7142857142857143,0.5555555555555556
scatter,none,1,5,5,True,5,0.825,0.6694444444444444,0.7,0.3888888888888889
scatter,none,1,5,10,True,5,0.805,0.7805555555555554,0.7857142857142857,0.6111111111111112
scatter,none,1,5,20,True,5,0.806904761904762,0.8249999999999998,0.9230769230769231,0.6666666666666666
scatter,none,1,5,40,True,5,0.8383333333333333,0.7333333333333333,0.8181818181818182,0.5
scatter,none,1,7,5,True,5,0.77,0.6972222222222222,0.7272727272727273,0.4444444444444444
scatter,none,1,7,10,True,5,0.71,0.7999999999999999,0.75,0.6666666666666666
scatter,none,1,7,20,True,5,0.7766666666666666,0.6833333333333333,0.5294117647058824,0.5
scatter,none,1,7,40,True,5,0.7883333333333333,0.6722222222222223,0.5714285714285714,0.4444444444444444
scatter,none,3,3,5,True,5,0.7092857142857143,0.6222222222222222,0.4,0.4444444444444444
scatter,none,3,3,10,True,5,0.6842857142857143,0.7055555555555556,0.4782608695652174,0.6111111111111112
scatter,none,3,3,20,True,5,0.7866666666666667,0.7805555555555554,0.7857142857142857,0.6111111111111112
scatter,none,3,3,40,True,5,0.825,0.7083333333333334,0.6428571428571429,0.5
scatter,none,3,5,5,True,5,0.5876190476190477,0.7083333333333334,0.4444444444444444,0.6666666666666666
scatter,none,3,5,10,True,5,0.611904761904762,0.5583333333333332,0.3157894736842105,0.3333333333333333
scatter,none,3,5,20,True,5,0.5566666666666668,0.6499999999999999,0.75,0.3333333333333333
scatter,none,3,5,40,True,5,0.75,0.7166666666666667,0.6923076923076923,0.5
scatter,none,3,7,5,True,5,0.6411904761904761,0.5999999999999999,0.3333333333333333,0.5
scatter,none,3,7,10,True,5,0.5135714285714286,0.5972222222222222,0.34782608695652173,0.4444444444444444
scatter,none,3,7,20,True,5,0.6733333333333332,0.6722222222222223,0.5714285714285714,0.4444444444444444
scatter,none,3,7,40,True,5,0.7466666666666667,0.6749999999999999,0.5,0.5
scatter,none,5,3,5,True,5,0.7775000000000001,0.7388888888888889,0.5789473684210527,0.6111111111111112
scatter,none,5,3,10,True,5,0.6466666666666666,0.6805555555555555,0.6153846153846154,0.4444444444444444
scatter,none,5,3,20,True,5,0.7416666666666668,0.6333333333333333,0.6,0.3333333333333333
scatter,none,5,3,40,True,5,0.8366666666666667,0.7916666666666666,0.7058823529411765,0.6666666666666666
scatter,none,5,5,5,True,5,0.7789285714285714,0.6833333333333332,0.4,0.6666666666666666
scatter,none,5,5,10,True,5,0.7499999999999999,0.7416666666666666,0.9,0.5
scatter,none,5,5,20,True,5,0.802142857142857,0.6583333333333332,0.8571428571428571,0.3333333333333333
scatter,none,5,5,40,True,5,0.7416666666666667,0.6388888888888888,1.0,0.2777777777777778
scatter,none,5,7,5,True,5,0.7607142857142858,0.6972222222222222,0.7272727272727273,0.4444444444444444
scatter,none,5,7,10,True,5,0.7304761904761905,0.7722222222222223,0.7333333333333333,0.6111111111111112
scatter,none,5,7,20,True,5,0.5802380952380952,0.6861111111111111,0.875,0.3888888888888889
scatter,none,5,7,40,True,5,0.73,0.7916666666666666,0.7058823529411765,0.6666666666666666
scatter,none,7,3,5,True,5,0.7391666666666665,0.575,0.75,0.16666666666666666
scatter,none,7,3,10,True,5,0.7216666666666667,0.7444444444444445,0.7142857142857143,0.5555555555555556
scatter,none,7,3,20,True,5,0.7816666666666667,0.7722222222222223,0.7333333333333333,0.6111111111111112
scatter,none,7,3,40,True,5,0.7249999999999999,0.788888888888889,0.8461538461538461,0.6111111111111112
scatter,none,7,5,5,True,5,0.7894047619047619,0.7388888888888889,0.5789473684210527,0.6111111111111112
scatter,none,7,5,10,True,5,0.7383333333333334,0.5583333333333333,0.5,0.16666666666666666
scatter,none,7,5,20,True,5,0.7150000000000001,0.6861111111111111,0.875,0.3888888888888889
scatter,none,7,5,40,True,5,0.8483333333333333,0.6972222222222222,0.7272727272727273,0.4444444444444444
scatter,none,7,7,5,True,5,0.7919047619047619,0.513888888888889,0.2857142857142857,0.1111111111111111
scatter,none,7,7,10,True,5,0.8099999999999999,0.6305555555555554,0.8333333333333334,0.2777777777777778
scatter,none,7,7,20,True,5,0.7849999999999999,0.538888888888889,0.5,0.1111111111111111
scatter,none,7,7,40,True,5,0.86,0.538888888888889,0.5,0.1111111111111111
spatstat,none,1,3,5,True,5,0.9233333333333335,0.6277777777777778,0.4666666666666667,0.3888888888888889
spatstat,none,1,3,10,True,5,0.9733333333333334,0.7166666666666668,0.38461538461538464,0.8333333333333334
spatstat,none,1,3,20,True,5,0.9783333333333333,0.7000000000000001,0.42857142857142855,0.6666666666666666
spatstat,none,1,3,40,True,5,0.9400000000000001,0.6722222222222222,0.35,0.7777777777777778
spatstat,none,1,5,5,True,5,0.8402380952380952,0.7694444444444445,0.9090909090909091,0.5555555555555556
spatstat,none,1,5,10,True,5,0.9783333333333333,0.6444444444444445,0.38461538461538464,0.5555555555555556
spatstat,none,1,5,20,True,5,0.9366666666666668,0.7111111111111112,0.5555555555555556,0.5555555555555556
spatstat,none,1,5,40,True,5,0.9566666666666668,0.7833333333333333,0.4090909090909091,1.0
spatstat,none,1,7,5,True,5,0.8644047619047619,0.8527777777777777,0.5925925925925926,0.8888888888888888
spatstat,none,1,7,10,True,5,0.9119047619047619,0.7416666666666667,0.3673469387755102,1.0
spatstat,none,1,7,20,True,5,0.9116666666666667,0.9388888888888889,0.8095238095238095,0.9444444444444444
spatstat,none,1,7,40,True,5,0.9283333333333333,0.9333333333333333,0.6923076923076923,1.0
spatstat,none,3,3,5,True,5,0.5513095238095238,0.5722222222222222,0.3076923076923077,0.4444444444444444
