type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc
scatter,none,1,3,5,True,5,0.8338097371565112,0.5884259259259259
scatter,none,1,3,5,True,7,0.7944862604540025,0.5509259259259258
scatter,none,1,3,5,True,11,0.7952658303464755,0.5249999999999999
scatter,none,1,3,10,True,5,0.87848715651135,0.7333333333333333
scatter,none,1,3,10,True,7,0.8788575268817205,0.7333333333333333
scatter,none,1,3,10,True,11,0.8788575268817205,0.7333333333333333
scatter,none,1,3,20,True,5,0.940192652329749,0.7916666666666666
scatter,none,1,3,20,True,7,0.940192652329749,0.7916666666666666
scatter,none,1,3,20,True,11,0.940192652329749,0.7916666666666666
scatter,none,1,3,40,True,5,0.9881944444444445,0.7833333333333333
scatter,none,1,3,40,True,7,0.9881944444444445,0.7833333333333333
scatter,none,1,3,40,True,11,0.9881944444444445,0.7833333333333333
scatter,none,1,5,5,True,5,0.8660692951015532,0.7375
scatter,none,1,5,5,True,7,0.8498521505376344,0.7388888888888889
scatter,none,1,5,5,True,11,0.8512873357228197,0.7388888888888889
scatter,none,1,5,10,True,5,0.8948297491039426,0.7277777777777779
scatter,none,1,5,10,True,7,0.8948297491039426,0.7277777777777779
scatter,none,1,5,10,True,11,0.8948297491039426,0.7277777777777779
scatter,none,1,5,20,True,5,0.9182706093189964,0.7722222222222223
scatter,none,1,5,20,True,7,0.9182706093189964,0.7722222222222223
scatter,none,1,5,20,True,11,0.9182706093189964,0.7722222222222223
scatter,none,1,5,40,True,5,0.9536648745519714,0.7166666666666667
scatter,none,1,5,40,True,7,0.9536648745519714,0.7166666666666667
scatter,none,1,5,40,True,11,0.9536648745519714,0.7166666666666667
scatter,none,1,7,5,True,5,0.8099746117084827,0.6935185185185185
scatter,none,1,7,5,True,7,0.7803300477897253,0.6333333333333333
scatter,none,1,7,5,True,11,0.7799596774193549,0.6333333333333333
scatter,none,1,7,10,True,5,0.8735483870967741,0.7694444444444445
scatter,none,1,7,10,True,7,0.8735483870967741,0.7694444444444445
scatter,none,1,7,10,True,11,0.8735483870967741,0.7694444444444445
scatter,none,1,7,20,True,5,0.9487724014336918,0.7166666666666667
scatter,none,1,7,20,True,7,0.9487724014336918,0.7166666666666667
scatter,none,1,7,20,True,11,0.9487724014336918,0.7166666666666667
scatter,none,1,7,40,True,5,0.9586648745519714,0.736111111111111
scatter,none,1,7,40,True,7,0.9586648745519714,0.736111111111111
scatter,none,1,7,40,True,11,0.9586648745519714,0.736111111111111
scatter,none,3,3,5,True,5,0.80569743130227,0.6805555555555556
scatter,none,3,3,5,True,7,0.7964411589008362,0.6222222222222222
scatter,none,3,3,5,True,11,0.7938485663082437,0.5944444444444444
scatter,none,3,3,10,True,5,0.7755137395459976,0.7208333333333333
scatter,none,3,3,10,True,7,0.7414949223416964,0.6958333333333333
scatter,none,3,3,10,True,11,0.7433467741935484,0.6916666666666667
scatter,none,3,3,20,True,5,0.9002658303464754,0.7333333333333333
scatter,none,3,3,20,True,7,0.8923521505376344,0.7333333333333333
scatter,none,3,3,20,True,11,0.8923521505376344,0.7333333333333333
scatter,none,3,3,40,True,5,0.8883169056152926,0.8467592592592592
scatter,none,3,3,40,True,7,0.8764650537634407,0.8249999999999998
scatter,none,3,3,40,True,11,0.8764650537634407,0.8249999999999998
scatter,none,3,5,5,True,5,0.7500522700119474,0.7236111111111111
scatter,none,3,5,5,True,7,0.7114934289127837,0.6944444444444444
scatter,none,3,5,5,True,11,0.6874193548387095,0.6944444444444444
scatter,none,3,5,10,True,5,0.764192054958184,0.7546296296296297
scatter,none,3,5,10,True,7,0.7289321983273596,0.7597222222222222
scatter,none,3,5,10,True,11,0.7130062724014337,0.7388888888888889
scatter,none,3,5,20,True,5,0.7954988052568698,0.7393518518518519
scatter,none,3,5,20,True,7,0.7755167264038231,0.6972222222222222
scatter,none,3,5,20,True,11,0.753037634408602,0.6972222222222222
scatter,none,3,5,40,True,5,0.8733393070489844,0.7527777777777777
scatter,none,3,5,40,True,7,0.8614874551971325,0.7527777777777777
scatter,none,3,5,40,True,11,0.8614874551971325,0.7527777777777777
scatter,none,3,7,5,True,5,0.6947371565113502,0.5986111111111111
scatter,none,3,7,5,True,7,0.6664560931899641,0.5583333333333332
scatter,none,3,7,5,True,11,0.660344982078853,0.5583333333333332
scatter,none,3,7,10,True,5,0.7380645161290322,0.6449074074074075
scatter,none,3,7,10,True,7,0.7117114695340502,0.6069444444444445
scatter,none,3,7,10,True,11,0.7028225806451613,0.5638888888888889
scatter,none,3,7,20,True,5,0.8045937873357228,0.611111111111111
scatter,none,3,7,20,True,7,0.7711021505376343,0.5861111111111111
scatter,none,3,7,20,True,11,0.7722132616487454,0.5861111111111111
scatter,none,3,7,40,True,5,0.8024910394265232,0.788888888888889
scatter,none,3,7,40,True,7,0.8065188172043012,0.788888888888889
scatter,none,3,7,40,True,11,0.8065188172043012,0.788888888888889
scatter,none,5,3,5,True,5,0.8601060334528077,0.6921296296296297
scatter,none,5,3,5,True,7,0.8601060334528077,0.6921296296296297
scatter,none,5,3,5,True,11,0.8601060334528077,0.6921296296296297
scatter,none,5,3,10,True,5,0.8604047192353643,0.7333333333333334
scatter,none,5,3,10,True,7,0.846429211469534,0.7407407407407408
scatter,none,5,3,10,True,11,0.8439023297491038,0.7444444444444445
scatter,none,5,3,20,True,5,0.8784199522102748,0.7666666666666667
scatter,none,5,3,20,True,7,0.8309931302270013,0.7638888888888888
scatter,none,5,3,20,True,11,0.8286559139784947,0.7638888888888888
scatter,none,5,3,40,True,5,0.8903434886499403,0.7148148148148148
scatter,none,5,3,40,True,7,0.8770041816009557,0.7166666666666667
scatter,none,5,3,40,True,11,0.8718189964157705,0.7166666666666667
scatter,none,5,5,5,True,5,0.779198028673835,0.725462962962963
scatter,none,5,5,5,True,7,0.771939964157706,0.725462962962963
scatter,none,5,5,5,True,11,0.771939964157706,0.725462962962963
scatter,none,5,5,10,True,5,0.8526702508960573,0.7833333333333333
scatter,none,5,5,10,True,7,0.7899596774193549,0.7537037037037038
scatter,none,5,5,10,True,11,0.7365785543608124,0.7083333333333334
scatter,none,5,5,20,True,5,0.8513246714456392,0.6833333333333333
scatter,none,5,5,20,True,7,0.8498969534050179,0.6333333333333333
scatter,none,5,5,20,True,11,0.8498969534050179,0.6333333333333333
scatter,none,5,5,40,True,5,0.8286902628434886,0.7074074074074074
scatter,none,5,5,40,True,7,0.824681899641577,0.6611111111111111
scatter,none,5,5,40,True,11,0.824681899641577,0.6611111111111111
scatter,none,5,7,5,True,5,0.7702225209080048,0.7958333333333333
scatter,none,5,7,5,True,7,0.7348984468339308,0.7189814814814816
scatter,none,5,7,5,True,11,0.698307945041816,0.7180555555555556
scatter,none,5,7,10,True,5,0.7942756869772999,0.7
scatter,none,5,7,10,True,7,0.759674432497013,0.6796296296296297
scatter,none,5,7,10,True,11,0.7583781362007168,0.700925925925926
scatter,none,5,7,20,True,5,0.8101299283154122,0.7046296296296297
scatter,none,5,7,20,True,7,0.7973028673835125,0.7055555555555556
scatter,none,5,7,20,True,11,0.7998745519713262,0.7055555555555556
scatter,none,5,7,40,True,5,0.8606376941457586,0.8203703703703702
scatter,none,5,7,40,True,7,0.8163709677419355,0.7416666666666666
scatter,none,5,7,40,True,11,0.8191487455197132,0.7416666666666666
scatter,none,7,3,5,True,5,0.7955704898446834,0.6990740740740742
scatter,none,7,3,5,True,7,0.7875791517323776,0.6800925925925926
scatter,none,7,3,5,True,11,0.7875791517323776,0.6800925925925926
scatter,none,7,3,10,True,5,0.8406839904420549,0.7064814814814815
scatter,none,7,3,10,True,7,0.8155689964157705,0.6527777777777778
scatter,none,7,3,10,True,11,0.8155689964157705,0.6527777777777778
scatter,none,7,3,20,True,5,0.8724985065710872,0.7606481481481482
scatter,none,7,3,20,True,7,0.8599059139784947,0.7083333333333334
scatter,none,7,3,20,True,11,0.8599059139784947,0.7083333333333334
scatter,none,7,3,40,True,5,0.8581720430107527,0.8055555555555555
