type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,5,0.720984477124183,0.5541666666666667,0.4358974358974359,0.5666666666666667
scatter,none,1,3,10,True,5,0.755563725490196,0.7416666666666667,0.8095238095238095,0.5666666666666667
scatter,none,1,3,20,True,5,0.78093954248366,0.7083333333333334,0.7894736842105263,0.5
scatter,none,1,3,40,True,5,0.7837254901960784,0.7083333333333334,0.7894736842105263,0.5
scatter,none,1,5,5,True,5,0.7556209150326798,0.6791666666666666,0.8571428571428571,0.4
scatter,none,1,5,10,True,5,0.7626388888888889,0.7020833333333333,0.8235294117647058,0.4666666666666667
scatter,none,1,5,20,True,5,0.7585743464052287,0.7520833333333333,0.85,0.5666666666666667
scatter,none,1,5,40,True,5,0.7632066993464051,0.7083333333333334,0.7894736842105263,0.5
scatter,none,1,7,5,True,5,0.8011151960784314,0.6854166666666667,0.8125,0.43333333333333335
scatter,none,1,7,10,True,5,0.7925612745098038,0.7020833333333333,0.8235294117647058,0.4666666666666667
scatter,none,1,7,20,True,5,0.7734640522875817,0.6979166666666666,0.75,0.5
scatter,none,1,7,40,True,5,0.7624673202614378,0.6916666666666668,0.7777777777777778,0.4666666666666667
scatter,none,3,3,5,True,5,0.7687214052287581,0.66875,0.6071428571428571,0.5666666666666667
scatter,none,3,3,10,True,5,0.8095302287581699,0.7124999999999999,0.6551724137931034,0.6333333333333333
scatter,none,3,3,20,True,5,0.8369771241830065,0.6833333333333332,0.6666666666666666,0.5333333333333333
scatter,none,3,3,40,True,5,0.8390482026143792,0.7270833333333333,0.72,0.6
scatter,none,3,5,5,True,5,0.7578962418300653,0.6291666666666667,0.5135135135135135,0.6333333333333333
scatter,none,3,5,10,True,5,0.755735294117647,0.6395833333333333,0.5277777777777778,0.6333333333333333
scatter,none,3,5,20,True,5,0.7528349673202615,0.6958333333333333,0.6428571428571429,0.6
scatter,none,3,5,40,True,5,0.8137867647058823,0.73125,0.7727272727272727,0.5666666666666667
scatter,none,3,7,5,True,5,0.6948692810457515,0.6708333333333333,0.5757575757575758,0.6333333333333333
scatter,none,3,7,10,True,5,0.7146160130718954,0.65,0.5428571428571428,0.6333333333333333
scatter,none,3,7,20,True,5,0.7609885620915031,0.6770833333333333,0.5714285714285714,0.6666666666666666
scatter,none,3,7,40,True,5,0.8124509803921567,0.7437499999999999,0.7307692307692307,0.6333333333333333
scatter,none,5,3,5,True,5,0.8007475490196079,0.6958333333333333,0.5609756097560976,0.7666666666666667
scatter,none,5,3,10,True,5,0.8218586601307187,0.7458333333333332,0.8888888888888888,0.5333333333333333
scatter,none,5,3,20,True,5,0.8219444444444444,0.7458333333333332,0.8888888888888888,0.5333333333333333
scatter,none,5,3,40,True,5,0.8020833333333333,0.7354166666666667,0.8421052631578947,0.5333333333333333
scatter,none,5,5,5,True,5,0.7630923202614379,0.6958333333333333,0.5609756097560976,0.7666666666666667
scatter,none,5,5,10,True,5,0.8722712418300654,0.7395833333333334,0.9375,0.5
scatter,none,5,5,20,True,5,0.8394199346405229,0.6812500000000001,0.7368421052631579,0.4666666666666667
scatter,none,5,5,40,True,5,0.859281045751634,0.725,0.8,0.5333333333333333
scatter,none,5,7,5,True,5,0.809297385620915,0.66875,0.8,0.4
scatter,none,5,7,10,True,5,0.8262050653594771,0.7375,0.75,0.6
scatter,none,5,7,20,True,5,0.8370629084967319,0.7125,0.875,0.4666666666666667
scatter,none,5,7,40,True,5,0.8640277777777777,0.7625,0.8947368421052632,0.5666666666666667
scatter,none,7,3,5,True,5,0.7394526143790848,0.6958333333333333,0.8666666666666667,0.43333333333333335
scatter,none,7,3,10,True,5,0.864795751633987,0.7083333333333334,0.7894736842105263,0.5
scatter,none,7,3,20,True,5,0.8364093137254901,0.725,0.8,0.5333333333333333
scatter,none,7,3,40,True,5,0.8404166666666667,0.7145833333333333,0.7619047619047619,0.5333333333333333
scatter,none,7,5,5,True,5,0.7937540849673203,0.6770833333333334,0.6818181818181818,0.5
scatter,none,7,5,10,True,5,0.8588848039215687,0.7083333333333334,0.7894736842105263,0.5
scatter,none,7,5,20,True,5,0.842516339869281,0.7354166666666667,0.8421052631578947,0.5333333333333333
scatter,none,7,5,40,True,5,0.8471200980392158,0.7354166666666667,0.8421052631578947,0.5333333333333333
scatter,none,7,7,5,True,5,0.7023202614379084,0.6645833333333333,0.7222222222222222,0.43333333333333335
scatter,none,7,7,10,True,5,0.8454738562091503,0.7666666666666666,1.0,0.5333333333333333
scatter,none,7,7,20,True,5,0.8194158496732026,0.7666666666666666,1.0,0.5333333333333333
scatter,none,7,7,40,True,5,0.8303880718954246,0.7291666666666666,0.8823529411764706,0.5
spatstat,none,1,3,5,True,5,0.812626633986928,0.7020833333333334,0.5581395348837209,0.8
spatstat,none,1,3,10,True,5,0.7781290849673203,0.7854166666666668,0.6857142857142857,0.8
spatstat,none,1,3,20,True,5,0.7947794117647058,0.8354166666666667,0.88,0.7333333333333333
spatstat,none,1,3,40,True,5,0.7741789215686274,0.8229166666666665,0.9523809523809523,0.6666666666666666
spatstat,none,1,5,5,True,5,0.83921977124183,0.8354166666666667,0.88,0.7333333333333333
spatstat,none,1,5,10,True,5,0.7823651960784312,0.6749999999999999,0.5348837209302325,0.7666666666666667
spatstat,none,1,5,20,True,5,0.7651674836601308,0.6979166666666667,0.5434782608695652,0.8333333333333334
spatstat,none,1,5,40,True,5,0.8010580065359477,0.8833333333333333,1.0,0.7666666666666667
spatstat,none,1,7,5,True,5,0.8386519607843137,0.7416666666666667,0.6470588235294118,0.7333333333333333
spatstat,none,1,7,10,True,5,0.7907393790849673,0.7229166666666667,0.5853658536585366,0.8
spatstat,none,1,7,20,True,5,0.8067401960784313,0.8416666666666666,0.8518518518518519,0.7666666666666667
spatstat,none,1,7,40,True,5,0.8022263071895424,0.86875,0.8888888888888888,0.8
spatstat,none,3,3,5,True,5,0.5515972222222223,0.5791666666666666,0.5238095238095238,0.36666666666666664
spatstat,none,3,3,10,True,5,0.5980882352941176,0.6166666666666667,0.6,0.4
spatstat,none,3,3,20,True,5,0.6263562091503267,0.6604166666666667,0.6666666666666666,0.4666666666666667
spatstat,none,3,3,40,True,5,0.721045751633987,0.7,0.68,0.5666666666666667
spatstat,none,3,5,5,True,5,0.7632475490196077,0.6854166666666667,0.6206896551724138,0.6
spatstat,none,3,5,10,True,5,0.7303880718954248,0.6791666666666667,0.6296296296296297,0.5666666666666667
spatstat,none,3,5,20,True,5,0.8122263071895425,0.6395833333333333,0.5277777777777778,0.6333333333333333
spatstat,none,3,5,40,True,5,0.7685498366013073,0.725,0.6363636363636364,0.7
spatstat,none,3,7,5,True,5,0.7301062091503268,0.7124999999999999,0.6551724137931034,0.6333333333333333
spatstat,none,3,7,10,True,5,0.7812867647058823,0.6666666666666667,0.5555555555555556,0.6666666666666666
spatstat,none,3,7,20,True,5,0.7689787581699347,0.6708333333333333,0.5757575757575758,0.6333333333333333
spatstat,none,3,7,40,True,5,0.8204370915032679,0.7041666666666666,0.6,0.7
spatstat,none,5,3,5,True,5,0.5793096405228757,0.6541666666666667,0.6842105263157895,0.43333333333333335
spatstat,none,5,3,10,True,5,0.663125,0.6458333333333334,0.6,0.5
spatstat,none,5,3,20,True,5,0.7294485294117647,0.5708333333333334,0.5714285714285714,0.26666666666666666
spatstat,none,5,3,40,True,5,0.7887009803921567,0.6604166666666667,0.6666666666666666,0.4666666666666667
spatstat,none,5,5,5,True,5,0.6341462418300654,0.575,0.5,0.4
spatstat,none,5,5,10,True,5,0.6731045751633987,0.6166666666666667,0.6,0.4
spatstat,none,5,5,20,True,5,0.7298447712418301,0.6416666666666666,0.7333333333333333,0.36666666666666664
spatstat,none,5,5,40,True,5,0.71484477124183,0.6291666666666668,0.5833333333333334,0.4666666666666667
spatstat,none,5,7,5,True,5,0.6304779411764706,0.65,0.6363636363636364,0.4666666666666667
spatstat,none,5,7,10,True,5,0.7354738562091503,0.7,0.68,0.5666666666666667
spatstat,none,5,7,20,True,5,0.7674959150326796,0.6520833333333333,0.5925925925925926,0.5333333333333333
spatstat,none,5,7,40,True,5,0.7324305555555555,0.6812500000000001,0.7368421052631579,0.4666666666666667
spatstat,none,7,3,5,True,5,0.5177777777777777,0.5666666666666668,0.5294117647058824,0.3
spatstat,none,7,3,10,True,5,0.5616013071895425,0.6479166666666667,0.7058823529411765,0.4
spatstat,none,7,3,20,True,5,0.728517156862745,0.5979166666666668,0.6428571428571429,0.3
spatstat,none,7,3,40,True,5,0.7431454248366013,0.6812500000000001,0.7368421052631579,0.4666666666666667
spatstat,none,7,5,5,True,5,0.615592320261438,0.5541666666666666,0.46153846153846156,0.4
spatstat,none,7,5,10,True,5,0.6469281045751634,0.6541666666666667,0.6842105263157895,0.43333333333333335
spatstat,none,7,5,20,True,5,0.7954575163398692,0.6708333333333334,0.7,0.4666666666666667
spatstat,none,7,5,40,True,5,0.7923897058823529,0.7354166666666667,0.8421052631578947,0.5333333333333333
spatstat,none,7,7,5,True,5,0.5784844771241829,0.5458333333333333,0.47368421052631576,0.3
spatstat,none,7,7,10,True,5,0.7736356209150327,0.65,0.6363636363636364,0.4666666666666667
spatstat,none,7,7,20,True,5,0.7669035947712418,0.6666666666666666,0.6521739130434783,0.5
spatstat,none,7,7,40,True,5,0.768888888888889,0.6395833333333334,0.6086956521739131,0.4666666666666667
moran,none,1,3,5,True,5,0.8071977124183007,0.8895833333333333,0.96,0.8
moran,none,1,3,10,True,5,0.7925326797385621,0.85,1.0,0.7
moran,none,1,3,20,True,5,0.7534068627450979,0.8166666666666667,1.0,0.6333333333333333
moran,none,1,3,40,True,5,0.7343096405228757,0.8166666666666667,1.0,0.6333333333333333
moran,none,1,5,5,True,5,0.7628390522875816,0.8458333333333333,0.9166666666666666,0.7333333333333333
moran,none,1,5,10,True,5,0.7456495098039215,0.8625,0.92,0.7666666666666667
moran,none,1,5,20,True,5,0.7859967320261436,0.8270833333333333,0.7741935483870968,0.8
moran,none,1,5,40,True,5,0.7717034313725488,0.8666666666666667,1.0,0.7333333333333333
moran,none,1,7,5,True,5,0.8258088235294118,0.8208333333333334,0.7931034482758621,0.7666666666666667
moran,none,1,7,10,True,5,0.75531454248366,0.8395833333333333,0.9545454545454546,0.7
