type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc
scatter,none,1,3,5,True,5,0.8216666666666669,0.5310344827586206
scatter,none,1,3,5,True,7,0.8183333333333334,0.4879310344827586
scatter,none,1,3,5,True,11,0.8433333333333334,0.5064655172413793
scatter,none,1,3,10,True,5,0.8933333333333333,0.7508620689655172
scatter,none,1,3,10,True,7,0.925,0.7267241379310345
scatter,none,1,3,10,True,11,0.9349999999999999,0.7168103448275862
scatter,none,1,3,20,True,5,0.9349999999999999,0.7120689655172414
scatter,none,1,3,20,True,7,0.9533333333333334,0.7133620689655173
scatter,none,1,3,20,True,11,0.9650000000000001,0.7017241379310345
scatter,none,1,3,40,True,5,0.9583333333333334,0.7185344827586206
scatter,none,1,3,40,True,7,0.9616666666666667,0.728448275862069
scatter,none,1,3,40,True,11,0.985,0.7120689655172414
scatter,none,1,5,5,True,5,0.8772222222222222,0.7262931034482758
scatter,none,1,5,5,True,7,0.9116666666666667,0.7728448275862069
scatter,none,1,5,5,True,11,0.9166666666666667,0.7831896551724138
scatter,none,1,5,10,True,5,0.8938888888888888,0.7228448275862069
scatter,none,1,5,10,True,7,0.8966666666666665,0.7870689655172414
scatter,none,1,5,10,True,11,0.9166666666666666,0.7758620689655172
scatter,none,1,5,20,True,5,0.8966666666666667,0.7974137931034483
scatter,none,1,5,20,True,7,0.9099999999999999,0.7875
scatter,none,1,5,20,True,11,0.9199999999999999,0.761206896551724
scatter,none,1,5,40,True,5,0.9133333333333333,0.7487068965517242
scatter,none,1,5,40,True,7,0.9199999999999999,0.7379310344827585
scatter,none,1,5,40,True,11,0.9466666666666667,0.7517241379310345
scatter,none,1,7,5,True,5,0.9016666666666666,0.7685344827586207
scatter,none,1,7,5,True,7,0.917222222222222,0.7637931034482758
scatter,none,1,7,5,True,11,0.9199999999999999,0.7754310344827586
scatter,none,1,7,10,True,5,0.9033333333333333,0.7629310344827586
scatter,none,1,7,10,True,7,0.9219444444444445,0.7801724137931034
scatter,none,1,7,10,True,11,0.9416666666666667,0.7737068965517241
scatter,none,1,7,20,True,5,0.9008333333333335,0.7900862068965517
scatter,none,1,7,20,True,7,0.9266666666666667,0.7775862068965517
scatter,none,1,7,20,True,11,0.9416666666666667,0.7676724137931035
scatter,none,1,7,40,True,5,0.9116666666666667,0.7948275862068965
scatter,none,1,7,40,True,7,0.9316666666666666,0.7900862068965517
scatter,none,1,7,40,True,11,0.93,0.7801724137931034
scatter,none,3,3,5,True,5,0.8899999999999999,0.806896551724138
scatter,none,3,3,5,True,7,0.9116666666666667,0.8340517241379309
scatter,none,3,3,5,True,11,0.9433333333333334,0.8469827586206895
scatter,none,3,3,10,True,5,0.9416666666666667,0.834051724137931
scatter,none,3,3,10,True,7,0.9433333333333334,0.8469827586206897
scatter,none,3,3,10,True,11,0.9216666666666666,0.8525862068965517
scatter,none,3,3,20,True,5,0.9716666666666667,0.8107758620689656
scatter,none,3,3,20,True,7,0.975,0.8038793103448275
scatter,none,3,3,20,True,11,0.9733333333333333,0.8008620689655173
scatter,none,3,3,40,True,5,0.95,0.8323275862068966
scatter,none,3,3,40,True,7,0.9349999999999999,0.8564655172413793
scatter,none,3,3,40,True,11,0.9383333333333332,0.8387931034482758
scatter,none,3,5,5,True,5,0.8166666666666668,0.8012931034482758
scatter,none,3,5,5,True,7,0.85,0.7922413793103449
scatter,none,3,5,5,True,11,0.8883333333333333,0.8086206896551724
scatter,none,3,5,10,True,5,0.8416666666666666,0.7607758620689655
scatter,none,3,5,10,True,7,0.8683333333333334,0.7620689655172415
scatter,none,3,5,10,True,11,0.8983333333333334,0.794396551724138
scatter,none,3,5,20,True,5,0.8452777777777778,0.8051724137931034
scatter,none,3,5,20,True,7,0.8466666666666667,0.8353448275862069
scatter,none,3,5,20,True,11,0.858611111111111,0.8163793103448276
scatter,none,3,5,40,True,5,0.9566666666666667,0.8362068965517242
scatter,none,3,5,40,True,7,0.9583333333333334,0.8577586206896552
scatter,none,3,5,40,True,11,0.9466666666666667,0.8521551724137931
scatter,none,3,7,5,True,5,0.7983333333333333,0.7689655172413793
scatter,none,3,7,5,True,7,0.8116666666666668,0.7939655172413793
scatter,none,3,7,5,True,11,0.8266666666666665,0.8310344827586207
scatter,none,3,7,10,True,5,0.8252777777777778,0.7215517241379311
scatter,none,3,7,10,True,7,0.8366666666666667,0.769396551724138
scatter,none,3,7,10,True,11,0.8550000000000001,0.8120689655172413
