type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,5,0.6138095238095238,0.5138888888888888,0.25,0.2777777777777778
scatter,none,1,3,5,True,10,0.6304761904761904,0.5138888888888888,0.25,0.2777777777777778
scatter,none,1,3,5,True,15,0.6104761904761905,0.48611111111111116,0.21052631578947367,0.2222222222222222
scatter,none,1,3,10,True,5,0.7949999999999999,0.7111111111111112,0.5555555555555556,0.5555555555555556
scatter,none,1,3,10,True,10,0.7899999999999999,0.7111111111111112,0.5555555555555556,0.5555555555555556
scatter,none,1,3,10,True,15,0.7949999999999999,0.7111111111111112,0.5555555555555556,0.5555555555555556
scatter,none,1,3,20,True,5,0.8216666666666667,0.8083333333333332,0.8,0.6666666666666666
scatter,none,1,3,20,True,10,0.805,0.7333333333333333,0.8181818181818182,0.5
scatter,none,1,3,20,True,15,0.8166666666666668,0.7333333333333333,0.8181818181818182,0.5
scatter,none,1,3,40,True,5,0.8233333333333333,0.7333333333333333,0.8181818181818182,0.5
scatter,none,1,3,40,True,10,0.8233333333333333,0.7138888888888888,0.8888888888888888,0.4444444444444444
scatter,none,1,3,40,True,15,0.7916666666666667,0.7999999999999999,0.75,0.6666666666666666
scatter,none,1,3,80,True,5,0.775,0.7694444444444444,0.5416666666666666,0.7222222222222222
scatter,none,1,3,80,True,10,0.7150000000000001,0.7694444444444444,0.5416666666666666,0.7222222222222222
scatter,none,1,3,80,True,15,0.7852380952380952,0.7694444444444444,0.5416666666666666,0.7222222222222222
scatter,none,1,5,5,True,5,0.8366666666666666,0.6694444444444444,0.7,0.3888888888888889
scatter,none,1,5,5,True,10,0.82,0.6694444444444444,0.7,0.3888888888888889
scatter,none,1,5,5,True,15,0.8033333333333333,0.6694444444444444,0.7,0.3888888888888889
scatter,none,1,5,10,True,5,0.7883333333333333,0.7805555555555554,0.7857142857142857,0.6111111111111112
scatter,none,1,5,10,True,10,0.8316666666666667,0.7749999999999999,0.631578947368421,0.6666666666666666
scatter,none,1,5,10,True,15,0.7833333333333333,0.7805555555555554,0.7857142857142857,0.6111111111111112
scatter,none,1,5,20,True,5,0.8166666666666668,0.6861111111111111,0.875,0.3888888888888889
scatter,none,1,5,20,True,10,0.8333333333333334,0.8249999999999998,0.9230769230769231,0.6666666666666666
scatter,none,1,5,20,True,15,0.8066666666666666,0.8249999999999998,0.9230769230769231,0.6666666666666666
scatter,none,1,5,40,True,5,0.8266666666666665,0.7138888888888888,0.8888888888888888,0.4444444444444444
scatter,none,1,5,40,True,10,0.8266666666666665,0.7333333333333333,0.8181818181818182,0.5
scatter,none,1,5,40,True,15,0.8383333333333333,0.7138888888888888,0.8888888888888888,0.4444444444444444
scatter,none,1,5,80,True,5,0.8383333333333333,0.7166666666666667,0.6923076923076923,0.5
scatter,none,1,5,80,True,10,0.7566666666666666,0.7527777777777777,0.7692307692307693,0.5555555555555556
scatter,none,1,5,80,True,15,0.7716666666666667,0.7055555555555556,0.8,0.4444444444444444
scatter,none,1,7,5,True,5,0.7533333333333333,0.6972222222222222,0.7272727272727273,0.4444444444444444
scatter,none,1,7,5,True,10,0.7533333333333333,0.6972222222222222,0.7272727272727273,0.4444444444444444
scatter,none,1,7,5,True,15,0.7533333333333333,0.6972222222222222,0.7272727272727273,0.4444444444444444
scatter,none,1,7,10,True,5,0.7316666666666667,0.8166666666666665,0.8571428571428571,0.6666666666666666
scatter,none,1,7,10,True,10,0.705,0.7999999999999999,0.75,0.6666666666666666
scatter,none,1,7,10,True,15,0.7266666666666667,0.7722222222222223,0.7333333333333333,0.6111111111111112
scatter,none,1,7,20,True,5,0.8100000000000002,0.7638888888888888,0.6875,0.6111111111111112
scatter,none,1,7,20,True,10,0.805,0.7277777777777779,0.625,0.5555555555555556
scatter,none,1,7,20,True,15,0.765,0.6916666666666667,0.5625,0.5
scatter,none,1,7,40,True,5,0.765,0.7277777777777779,0.625,0.5555555555555556
