type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,5,0.8796448087431694,0.5472222222222222,0.27586206896551724,0.4444444444444444
scatter,none,1,3,10,True,5,0.9872668174109667,0.7222222222222223,0.5238095238095238,0.6111111111111112
scatter,none,1,3,20,True,5,0.9921094780478613,0.7972222222222223,0.9166666666666666,0.6111111111111112
scatter,none,1,3,40,True,5,0.9954060674580741,0.8055555555555556,1.0,0.6111111111111112
scatter,none,1,3,80,True,5,0.9957508950442812,0.7722222222222223,0.7333333333333333,0.6111111111111112
scatter,none,1,5,5,True,5,0.9640766911626153,0.7749999999999999,0.631578947368421,0.6666666666666666
scatter,none,1,5,10,True,5,0.9795732052006784,0.7416666666666666,0.5217391304347826,0.6666666666666666
scatter,none,1,5,20,True,5,0.9811268136423591,0.7638888888888888,0.6875,0.6111111111111112
scatter,none,1,5,40,True,5,0.9844695684944412,0.7722222222222223,0.7333333333333333,0.6111111111111112
scatter,none,1,5,80,True,5,0.9796693046919163,0.7777777777777778,1.0,0.5555555555555556
scatter,none,1,7,5,True,5,0.9512898059167139,0.7249999999999999,0.75,0.5
scatter,none,1,7,10,True,5,0.9609299039005087,0.6972222222222222,0.7272727272727273,0.4444444444444444
scatter,none,1,7,20,True,5,0.9791313359713586,0.7805555555555554,0.7857142857142857,0.6111111111111112
scatter,none,1,7,40,True,5,0.9767147164122856,0.736111111111111,0.6666666666666666,0.5555555555555556
scatter,none,1,7,80,True,5,0.9739259468626342,0.7527777777777777,0.7692307692307693,0.5555555555555556
scatter,none,3,3,5,True,5,0.9223224043715847,0.8055555555555555,0.5833333333333334,0.7777777777777778
scatter,none,3,3,10,True,5,0.9515083851516865,0.7666666666666666,0.6,0.6666666666666666
scatter,none,3,3,20,True,5,0.985016016581873,0.8027777777777778,0.65,0.7222222222222222
scatter,none,3,3,40,True,5,0.9663284341435838,0.7666666666666666,0.6,0.6666666666666666
scatter,none,3,3,80,True,5,0.9894309402675712,0.7916666666666666,0.7058823529411765,0.6666666666666666
scatter,none,3,5,5,True,5,0.9096495195025438,0.788888888888889,0.5384615384615384,0.7777777777777778
