type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
moran,direct,1,grid,30,none,2,0.8614768826178221,0.9022556390977445,0.8571428571428571,0.8571428571428571
moran,direct,1,grid,30,none,3,0.88558397323498,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,30,none,4,0.8969196484464941,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,30,none,5,0.9137462431925518,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,30,none,6,0.9170851479911881,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,60,none,2,0.8955462524757827,0.9022556390977445,0.8571428571428571,0.8571428571428571
moran,direct,1,grid,60,none,3,0.9080534393453856,0.9022556390977445,0.8571428571428571,0.8571428571428571
moran,direct,1,grid,60,none,4,0.91233936040983,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,60,none,5,0.925229930968186,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,60,none,6,0.9287726164236231,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,90,none,2,0.9062276248182289,0.7857142857142857,1.0,0.5714285714285714
moran,direct,1,grid,90,none,3,0.920624663711912,0.830827067669173,0.8333333333333334,0.7142857142857143
moran,direct,1,grid,90,none,4,0.9292371688344844,0.9022556390977445,0.8571428571428571,0.8571428571428571
moran,direct,1,grid,90,none,5,0.9332774950056828,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,90,none,6,0.9342710831637007,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,120,none,2,0.8947754328459027,0.7593984962406015,0.8,0.5714285714285714
moran,direct,1,grid,120,none,3,0.9030571205738991,0.830827067669173,0.8333333333333334,0.7142857142857143
moran,direct,1,grid,120,none,4,0.9141990572024128,0.830827067669173,0.8333333333333334,0.7142857142857143
moran,direct,1,grid,120,none,5,0.9184726871471838,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,120,none,6,0.9250306468762843,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,150,none,2,0.9181994257833184,0.9022556390977445,0.8571428571428571,0.8571428571428571
moran,direct,1,grid,150,none,3,0.92420178873199,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,150,none,4,0.9318783395964605,0.9022556390977445,0.8571428571428571,0.8571428571428571
moran,direct,1,grid,150,none,5,0.93984410432397,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,150,none,6,0.9388706674948285,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,30,row,2,0.8497536309952418,0.9022556390977445,0.8571428571428571,0.8571428571428571
moran,direct,1,grid,30,row,3,0.8828297623431853,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,30,row,4,0.8995681480748594,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,30,row,5,0.9072158277862977,0.9022556390977445,0.8571428571428571,0.8571428571428571
moran,direct,1,grid,30,row,6,0.9144032623227254,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,60,row,2,0.8885839515537504,0.8759398496240601,0.75,0.8571428571428571
moran,direct,1,grid,60,row,3,0.9040721456661054,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,60,row,4,0.9099884814649914,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,60,row,5,0.9210543414066903,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,60,row,6,0.9265299939964369,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,90,row,2,0.906546428979315,0.7857142857142857,1.0,0.5714285714285714
moran,direct,1,grid,90,row,3,0.9148430401114964,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,90,row,4,0.9229259659293216,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,90,row,5,0.928503990567749,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,90,row,6,0.9321696696696697,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,120,row,2,0.8894510602732077,0.7330827067669173,0.6666666666666666,0.5714285714285714
moran,direct,1,grid,120,row,3,0.8974059248388107,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,120,row,4,0.9060079038770315,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,120,row,5,0.9125241318194339,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,120,row,6,0.9199497850504562,0.8571428571428572,1.0,0.7142857142857143
