type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,diagonal,1,euclidean,90,row,4,0.8022556390977444,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,1,euclidean,90,row,5,0.8005012531328323,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,1,euclidean,90,none,6,0.7996240601503759,0.6917293233082707,0.4,0.8571428571428571
scatter,diagonal,1,euclidean,30,none,6,0.7979323308270677,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,1,grid,60,row,5,0.7978070175438596,0.5939849624060151,0.3333333333333333,0.7142857142857143
scatter,diagonal,1,euclidean,30,row,6,0.7976190476190476,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,1,euclidean,90,row,3,0.7964285714285715,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,1,euclidean,90,none,5,0.7960526315789475,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,1,euclidean,90,row,6,0.7954260651629073,0.6917293233082707,0.4,0.8571428571428571
scatter,diagonal,1,euclidean,90,none,4,0.794548872180451,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,1,euclidean,30,row,5,0.7920426065162907,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,direct,1,euclidean,120,row,6,0.7918546365914787,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,1,grid,60,row,6,0.7900375939849624,0.6917293233082707,0.4,0.8571428571428571
scatter,diagonal,1,euclidean,60,none,6,0.7890350877192983,0.6466165413533835,0.38461538461538464,0.7142857142857143
scatter,direct,1,euclidean,60,row,6,0.7887218045112782,0.7894736842105263,0.4666666666666667,1.0
scatter,direct,1,euclidean,60,none,6,0.7885338345864662,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,1,euclidean,60,row,6,0.7864035087719298,0.575187969924812,0.3333333333333333,0.5714285714285714
scatter,diagonal,1,euclidean,90,none,3,0.7845238095238095,0.6654135338345866,0.375,0.8571428571428571
scatter,direct,1,euclidean,60,row,5,0.7840225563909774,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,1,euclidean,30,none,5,0.7837092731829574,0.744360902255639,0.46153846153846156,0.8571428571428571
scatter,direct,1,euclidean,120,none,6,0.7830827067669173,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,1,grid,60,row,4,0.7827694235588973,0.6203007518796994,0.35714285714285715,0.7142857142857143
scatter,diagonal,1,euclidean,30,none,4,0.7805764411027569,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,1,euclidean,60,none,5,0.7804511278195487,0.6729323308270676,0.4166666666666667,0.7142857142857143
scatter,diagonal,1,euclidean,60,row,5,0.7803884711779447,0.575187969924812,0.3333333333333333,0.5714285714285714
scatter,diagonal,1,euclidean,120,none,6,0.7803884711779447,0.6729323308270676,0.4166666666666667,0.7142857142857143
scatter,direct,1,euclidean,60,none,5,0.7800125313283208,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,1,grid,60,none,6,0.7784461152882207,0.6466165413533835,0.38461538461538464,0.7142857142857143
scatter,diagonal,1,grid,60,none,4,0.7782581453634084,0.575187969924812,0.3333333333333333,0.5714285714285714
scatter,direct,1,euclidean,90,none,6,0.7777568922305764,0.7894736842105263,0.4666666666666667,1.0
scatter,direct,1,euclidean,150,row,6,0.7765664160401003,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,1,euclidean,30,none,3,0.7765664160401002,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,direct,1,euclidean,60,none,4,0.7764411027568923,0.7631578947368421,0.4375,1.0
scatter,direct,1,euclidean,120,none,5,0.7760651629072682,0.8157894736842105,0.5,1.0
scatter,direct,1,euclidean,120,row,5,0.775375939849624,0.8157894736842105,0.5,1.0
scatter,direct,1,euclidean,150,none,6,0.775375939849624,0.8157894736842105,0.5,1.0
scatter,diagonal,1,grid,150,none,6,0.7749373433583959,0.575187969924812,0.3333333333333333,0.5714285714285714
scatter,direct,1,euclidean,150,none,5,0.7748120300751881,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,1,euclidean,150,none,6,0.7733082706766918,0.6203007518796994,0.35714285714285715,0.7142857142857143
scatter,diagonal,1,grid,60,none,5,0.7730576441102757,0.5939849624060151,0.3333333333333333,0.7142857142857143
scatter,diagonal,1,euclidean,120,row,6,0.7728070175438596,0.6992481203007519,0.45454545454545453,0.7142857142857143
scatter,diagonal,1,euclidean,30,row,4,0.7726817042606517,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,1,euclidean,60,none,4,0.7720551378446115,0.6203007518796994,0.35714285714285715,0.7142857142857143
scatter,direct,1,euclidean,90,row,6,0.7716791979949875,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,3,grid,120,row,6,0.7709899749373433,0.6015037593984962,0.36363636363636365,0.5714285714285714
scatter,diagonal,3,grid,30,none,6,0.7709899749373433,0.6466165413533835,0.38461538461538464,0.7142857142857143
scatter,diagonal,1,euclidean,150,none,5,0.7706766917293233,0.6203007518796994,0.35714285714285715,0.7142857142857143
scatter,diagonal,1,grid,30,row,6,0.7702380952380953,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,1,euclidean,90,row,2,0.768984962406015,0.7706766917293233,0.5,0.8571428571428571
scatter,direct,1,euclidean,60,row,3,0.7687343358395989,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,1,euclidean,150,row,6,0.7685463659147869,0.6917293233082707,0.4,0.8571428571428571
scatter,diagonal,1,euclidean,120,none,5,0.7684837092731829,0.744360902255639,0.46153846153846156,0.8571428571428571
scatter,diagonal,1,grid,120,none,4,0.7682957393483709,0.5225563909774436,0.2857142857142857,0.5714285714285714
moran,diagonal,1,euclidean,30,row,6,0.768233082706767,0.7706766917293233,0.5,0.8571428571428571
scatter,direct,1,euclidean,60,none,3,0.768045112781955,0.8157894736842105,0.5,1.0
scatter,diagonal,1,euclidean,60,row,4,0.767543859649123,0.575187969924812,0.3333333333333333,0.5714285714285714
scatter,diagonal,3,grid,60,row,6,0.7675438596491229,0.6278195488721805,0.4,0.5714285714285714
scatter,diagonal,3,grid,150,none,6,0.7675438596491228,0.6541353383458647,0.4444444444444444,0.5714285714285714
scatter,diagonal,3,grid,90,none,6,0.7673558897243108,0.6015037593984962,0.36363636363636365,0.5714285714285714
scatter,direct,1,euclidean,60,row,4,0.7673558897243108,0.7631578947368421,0.4375,1.0
scatter,diagonal,3,grid,90,row,6,0.7669172932330828,0.6278195488721805,0.4,0.5714285714285714
scatter,diagonal,1,euclidean,90,none,2,0.7667293233082708,0.7706766917293233,0.5,0.8571428571428571
scatter,diagonal,3,grid,30,none,5,0.7666666666666666,0.6466165413533835,0.38461538461538464,0.7142857142857143
scatter,diagonal,3,grid,30,row,6,0.7664786967418546,0.6466165413533835,0.38461538461538464,0.7142857142857143
scatter,diagonal,3,grid,60,none,6,0.7664786967418546,0.6992481203007519,0.45454545454545453,0.7142857142857143
scatter,diagonal,1,grid,60,none,3,0.7656641604010026,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,direct,1,euclidean,150,none,4,0.7654761904761905,0.8157894736842105,0.5,1.0
scatter,direct,1,euclidean,120,none,4,0.7654135338345864,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,3,euclidean,120,none,6,0.7651629072681704,0.6729323308270676,0.4166666666666667,0.7142857142857143
scatter,diagonal,3,grid,60,row,5,0.7650375939849624,0.6015037593984962,0.36363636363636365,0.5714285714285714
scatter,diagonal,3,grid,120,none,6,0.7650375939849624,0.6729323308270676,0.4166666666666667,0.7142857142857143
scatter,diagonal,1,grid,120,none,5,0.7650375939849623,0.5225563909774436,0.2857142857142857,0.5714285714285714
scatter,diagonal,3,grid,90,none,5,0.7648496240601504,0.6466165413533835,0.38461538461538464,0.7142857142857143
scatter,diagonal,1,euclidean,30,row,3,0.7647869674185465,0.744360902255639,0.46153846153846156,0.8571428571428571
scatter,direct,1,euclidean,150,row,5,0.7640977443609023,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,3,euclidean,150,none,6,0.7640350877192983,0.6729323308270676,0.4166666666666667,0.7142857142857143
scatter,diagonal,3,grid,150,row,6,0.7639097744360903,0.7255639097744362,0.5,0.7142857142857143
scatter,direct,1,euclidean,90,none,5,0.7635338345864662,0.7894736842105263,0.4666666666666667,1.0
scatter,direct,1,euclidean,90,row,5,0.7630952380952382,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,3,grid,60,none,4,0.76296992481203,0.6992481203007519,0.45454545454545453,0.7142857142857143
scatter,diagonal,3,euclidean,60,row,6,0.762531328320802,0.6278195488721805,0.4,0.5714285714285714
scatter,direct,1,euclidean,120,row,4,0.762468671679198,0.7894736842105263,0.4666666666666667,1.0
scatter,diagonal,3,euclidean,90,none,6,0.761967418546366,0.6729323308270676,0.4166666666666667,0.7142857142857143
scatter,diagonal,1,euclidean,120,row,5,0.7619047619047619,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,3,grid,120,none,5,0.7617794486215538,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,diagonal,1,euclidean,150,row,5,0.7616541353383458,0.6654135338345866,0.375,0.8571428571428571
