type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,5,0.8211904761904762,0.5333333333333333,0.2727272727272727,0.3333333333333333
scatter,none,1,3,10,True,5,0.9566666666666667,0.7694444444444445,0.9090909090909091,0.5555555555555556
scatter,none,1,3,20,True,5,0.975,0.7333333333333333,0.8181818181818182,0.5
scatter,none,1,3,40,True,5,0.9716666666666667,0.7249999999999999,0.75,0.5
scatter,none,1,3,80,True,5,0.9675,0.7694444444444445,0.9090909090909091,0.5555555555555556
scatter,none,1,5,5,True,5,0.9275,0.6499999999999999,0.75,0.3333333333333333
scatter,none,1,5,10,True,5,0.9383333333333332,0.7972222222222223,0.9166666666666666,0.6111111111111112
scatter,none,1,5,20,True,5,0.9625,0.788888888888889,0.8461538461538461,0.6111111111111112
scatter,none,1,5,40,True,5,0.9716666666666665,0.7527777777777777,0.7692307692307693,0.5555555555555556
scatter,none,1,5,80,True,5,0.9708333333333332,0.7611111111111112,0.8333333333333334,0.5555555555555556
scatter,none,1,7,5,True,5,0.9116666666666667,0.6972222222222222,0.7272727272727273,0.4444444444444444
scatter,none,1,7,10,True,5,0.9091666666666667,0.7611111111111112,0.8333333333333334,0.5555555555555556
scatter,none,1,7,20,True,5,0.9558333333333333,0.7472222222222222,0.6111111111111112,0.6111111111111112
scatter,none,1,7,40,True,5,0.9650000000000001,0.7611111111111112,0.8333333333333334,0.5555555555555556
scatter,none,1,7,80,True,5,0.9683333333333334,0.7611111111111112,0.8333333333333334,0.5555555555555556
scatter,none,3,3,5,True,5,0.8866666666666667,0.6638888888888889,0.5333333333333333,0.4444444444444444
scatter,none,3,3,10,True,5,0.8566666666666667,0.7000000000000001,0.6,0.5
scatter,none,3,3,20,True,5,0.9408333333333333,0.7722222222222223,0.7333333333333333,0.6111111111111112
scatter,none,3,3,40,True,5,0.9216666666666666,0.7916666666666666,0.7058823529411765,0.6666666666666666
scatter,none,3,3,80,True,5,0.9349999999999999,0.8083333333333332,0.8,0.6666666666666666
scatter,none,3,5,5,True,5,0.780357142857143,0.6888888888888889,0.44,0.6111111111111112
scatter,none,3,5,10,True,5,0.7890476190476191,0.6333333333333333,0.6,0.3333333333333333
scatter,none,3,5,20,True,5,0.8255952380952379,0.7527777777777777,0.7692307692307693,0.5555555555555556
scatter,none,3,5,40,True,5,0.8991666666666667,0.7722222222222223,0.7333333333333333,0.6111111111111112
scatter,none,3,5,80,True,5,0.8880952380952379,0.7527777777777777,0.7692307692307693,0.5555555555555556
scatter,none,3,7,5,True,5,0.7936904761904762,0.6083333333333333,0.34615384615384615,0.5
scatter,none,3,7,10,True,5,0.766904761904762,0.6555555555555556,0.5,0.4444444444444444
scatter,none,3,7,20,True,5,0.8601190476190477,0.736111111111111,0.6666666666666666,0.5555555555555556
scatter,none,3,7,40,True,5,0.8741666666666668,0.7555555555555556,0.6470588235294118,0.6111111111111112
scatter,none,3,7,80,True,5,0.8680952380952383,0.7277777777777779,0.625,0.5555555555555556
scatter,none,5,3,5,True,5,0.8875,0.7388888888888889,0.5789473684210527,0.6111111111111112
scatter,none,5,3,10,True,5,0.9083333333333334,0.7166666666666667,0.6923076923076923,0.5
scatter,none,5,3,20,True,5,0.8980952380952381,0.7166666666666667,0.6923076923076923,0.5
scatter,none,5,3,40,True,5,0.9216666666666666,0.736111111111111,0.6666666666666666,0.5555555555555556
scatter,none,5,3,80,True,5,0.9208333333333334,0.7638888888888888,0.6875,0.6111111111111112
scatter,none,5,5,5,True,5,0.8414285714285714,0.6944444444444444,0.5,0.5555555555555556
scatter,none,5,5,10,True,5,0.9091666666666667,0.7694444444444445,0.9090909090909091,0.5555555555555556
scatter,none,5,5,20,True,5,0.9167857142857143,0.6944444444444444,1.0,0.3888888888888889
scatter,none,5,5,40,True,5,0.9116666666666667,0.788888888888889,0.8461538461538461,0.6111111111111112
scatter,none,5,5,80,True,5,0.9149999999999998,0.7972222222222223,0.9166666666666666,0.6111111111111112
scatter,none,5,7,5,True,5,0.8611904761904761,0.7055555555555556,0.8,0.4444444444444444
scatter,none,5,7,10,True,5,0.8572619047619048,0.7805555555555554,0.7857142857142857,0.6111111111111112
scatter,none,5,7,20,True,5,0.8709523809523809,0.7055555555555556,0.8,0.4444444444444444
scatter,none,5,7,40,True,5,0.8983333333333334,0.8083333333333332,0.8,0.6666666666666666
scatter,none,5,7,80,True,5,0.9133333333333333,0.7527777777777777,0.7692307692307693,0.5555555555555556
scatter,none,7,3,5,True,5,0.8503571428571428,0.5472222222222222,0.6666666666666666,0.1111111111111111
scatter,none,7,3,10,True,5,0.8858333333333333,0.7527777777777777,0.7692307692307693,0.5555555555555556
scatter,none,7,3,20,True,5,0.9225,0.7999999999999999,0.75,0.6666666666666666
scatter,none,7,3,40,True,5,0.9141666666666666,0.8444444444444446,0.8666666666666667,0.7222222222222222
scatter,none,7,3,80,True,5,0.9058333333333334,0.8194444444444444,0.7222222222222222,0.7222222222222222
scatter,none,7,5,5,True,5,0.8860714285714286,0.7111111111111112,0.5555555555555556,0.5555555555555556
scatter,none,7,5,10,True,5,0.9124999999999999,0.6416666666666666,0.6666666666666666,0.3333333333333333
scatter,none,7,5,20,True,5,0.9141666666666666,0.7333333333333333,0.8181818181818182,0.5
scatter,none,7,5,40,True,5,0.9308333333333334,0.7972222222222223,0.9166666666666666,0.6111111111111112
scatter,none,7,5,80,True,5,0.9208333333333334,0.8166666666666665,0.8571428571428571,0.6666666666666666
scatter,none,7,7,5,True,5,0.8808333333333334,0.5055555555555555,0.25,0.1111111111111111
scatter,none,7,7,10,True,5,0.9366666666666668,0.6583333333333332,0.8571428571428571,0.3333333333333333
scatter,none,7,7,20,True,5,0.9516666666666665,0.7166666666666667,0.6923076923076923,0.5
