type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,3,0.7519321895424836,0.653448275862069,0.41379310344827586,0.6
scatter,none,1,3,5,True,5,0.7631535947712418,0.6008620689655172,0.3333333333333333,0.65
scatter,none,1,3,5,True,10,0.7589746732026142,0.4586206896551724,0.2222222222222222,0.4
scatter,none,1,3,5,True,15,0.7678104575163398,0.5422413793103449,0.2894736842105263,0.55
scatter,none,1,3,10,True,3,0.8267156862745096,0.7051724137931034,0.5217391304347826,0.6
scatter,none,1,3,10,True,5,0.8032720588235293,0.7396551724137932,0.631578947368421,0.6
scatter,none,1,3,10,True,10,0.8166299019607843,0.7827586206896553,0.8571428571428571,0.6
scatter,none,1,3,10,True,15,0.8114583333333332,0.7827586206896553,0.8571428571428571,0.6
scatter,none,1,3,20,True,3,0.8000612745098039,0.7224137931034483,0.5714285714285714,0.6
scatter,none,1,3,20,True,5,0.8093831699346404,0.7396551724137932,0.631578947368421,0.6
scatter,none,1,3,20,True,10,0.8393341503267975,0.7482758620689656,0.6666666666666666,0.6
scatter,none,1,3,20,True,15,0.8374591503267974,0.7482758620689656,0.6666666666666666,0.6
scatter,none,1,3,40,True,3,0.7873897058823529,0.7310344827586207,0.6,0.6
scatter,none,1,3,40,True,5,0.821233660130719,0.7396551724137932,0.631578947368421,0.6
scatter,none,1,3,40,True,10,0.8366625816993466,0.6887931034482759,0.5238095238095238,0.55
scatter,none,1,3,40,True,15,0.8437949346405228,0.7051724137931034,0.5217391304347826,0.6
scatter,none,1,3,80,True,3,0.7692320261437908,0.7137931034482758,0.5454545454545454,0.6
scatter,none,1,3,80,True,5,0.7980473856209149,0.7224137931034483,0.5714285714285714,0.6
scatter,none,1,3,80,True,10,0.8292728758169934,0.7051724137931034,0.5217391304347826,0.6
scatter,none,1,3,80,True,15,0.8521486928104574,0.7301724137931034,0.5416666666666666,0.65
scatter,none,1,3,5,False,3,0.7310457516339869,0.6362068965517242,0.3870967741935484,0.6
scatter,none,1,3,5,False,5,0.7544035947712417,0.5836206896551723,0.3170731707317073,0.65
scatter,none,1,3,5,False,10,0.7577001633986928,0.44999999999999996,0.21621621621621623,0.4
scatter,none,1,3,5,False,15,0.7733864379084967,0.5163793103448275,0.2682926829268293,0.55
scatter,none,1,3,10,False,3,0.7889256535947712,0.664655172413793,0.5625,0.45
scatter,none,1,3,10,False,5,0.7882434640522875,0.6655172413793103,0.6666666666666666,0.4
scatter,none,1,3,10,False,10,0.7811683006535948,0.6991379310344827,0.75,0.45
scatter,none,1,3,10,False,15,0.7765073529411765,0.6991379310344827,0.75,0.45
scatter,none,1,3,20,False,3,0.78125,0.7905172413793102,0.7647058823529411,0.65
scatter,none,1,3,20,False,5,0.7748570261437908,0.7741379310344828,0.8,0.6
scatter,none,1,3,20,False,10,0.7909150326797385,0.7241379310344829,0.7692307692307693,0.5
scatter,none,1,3,20,False,15,0.7823897058823529,0.6991379310344827,0.75,0.45
scatter,none,1,3,40,False,3,0.7709926470588235,0.7646551724137931,0.65,0.65
scatter,none,1,3,40,False,5,0.7827573529411764,0.7482758620689656,0.6666666666666666,0.6
scatter,none,1,3,40,False,10,0.806315359477124,0.6991379310344827,0.75,0.45
scatter,none,1,3,40,False,15,0.8114869281045751,0.7241379310344829,0.7692307692307693,0.5
scatter,none,1,3,80,False,3,0.7834395424836601,0.7146551724137931,0.6111111111111112,0.55
scatter,none,1,3,80,False,5,0.7949183006535947,0.7068965517241379,0.6666666666666666,0.5
scatter,none,1,3,80,False,10,0.8015972222222221,0.7241379310344829,0.7692307692307693,0.5
scatter,none,1,3,80,False,15,0.8000653594771242,0.6905172413793103,0.6923076923076923,0.45
scatter,none,1,5,5,True,3,0.7237377450980392,0.7068965517241379,0.6666666666666666,0.5
scatter,none,1,5,5,True,5,0.7200694444444444,0.6982758620689655,0.625,0.5
scatter,none,1,5,5,True,10,0.7654493464052288,0.6818965517241379,0.6428571428571429,0.45
scatter,none,1,5,5,True,15,0.7727246732026144,0.7318965517241378,0.6875,0.55
scatter,none,1,5,10,True,3,0.8052083333333332,0.7724137931034483,0.6086956521739131,0.7
scatter,none,1,5,10,True,5,0.8156045751633986,0.7560344827586206,0.6190476190476191,0.65
scatter,none,1,5,10,True,10,0.8091544117647059,0.7905172413793102,0.7647058823529411,0.65
scatter,none,1,5,10,True,15,0.814015522875817,0.7560344827586206,0.6190476190476191,0.65
scatter,none,1,5,20,True,3,0.761078431372549,0.7396551724137932,0.631578947368421,0.6
scatter,none,1,5,20,True,5,0.7908823529411764,0.7224137931034483,0.5714285714285714,0.6
scatter,none,1,5,20,True,10,0.8070506535947712,0.7060344827586207,0.5789473684210527,0.55
scatter,none,1,5,20,True,15,0.816968954248366,0.6879310344827586,0.48,0.6
scatter,none,1,5,40,True,3,0.7917401960784314,0.7129310344827586,0.5,0.65
scatter,none,1,5,40,True,5,0.8150081699346405,0.6965517241379311,0.5,0.6
scatter,none,1,5,40,True,10,0.8090686274509803,0.7051724137931034,0.5217391304347826,0.6
scatter,none,1,5,40,True,15,0.8372017973856207,0.7129310344827586,0.5,0.65
scatter,none,1,5,80,True,3,0.7749714052287582,0.7474137931034482,0.5909090909090909,0.65
scatter,none,1,5,80,True,5,0.810375816993464,0.7474137931034482,0.5909090909090909,0.65
scatter,none,1,5,80,True,10,0.8213439542483659,0.7396551724137932,0.631578947368421,0.6
scatter,none,1,5,80,True,15,0.8229370915032679,0.7301724137931034,0.5416666666666666,0.65
scatter,none,1,5,5,False,3,0.7192810457516339,0.7155172413793104,0.7142857142857143,0.5
scatter,none,1,5,5,False,5,0.7266380718954248,0.7318965517241378,0.6875,0.55
scatter,none,1,5,5,False,10,0.7489746732026143,0.7068965517241379,0.6666666666666666,0.5
