type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
moran,direct,1,grid,30,none,2,0.7373208326318279,0.7180451127819549,0.42857142857142855,0.8571428571428571
moran,direct,1,grid,30,none,3,0.7617904785212561,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,30,none,4,0.7749077773580432,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,30,none,5,0.7851944482005845,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,30,none,6,0.7907277101945509,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,60,none,2,0.7462280251222343,0.744360902255639,0.46153846153846156,0.8571428571428571
moran,direct,1,grid,60,none,3,0.766058595629896,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,60,none,4,0.7759712165651256,0.744360902255639,0.46153846153846156,0.8571428571428571
moran,direct,1,grid,60,none,5,0.785100691361669,0.744360902255639,0.46153846153846156,0.8571428571428571
moran,direct,1,grid,60,none,6,0.7899620032475848,0.744360902255639,0.46153846153846156,0.8571428571428571
moran,direct,1,grid,90,none,2,0.7437118735770679,0.6541353383458647,0.4444444444444444,0.5714285714285714
moran,direct,1,grid,90,none,3,0.7633796149641975,0.6992481203007519,0.45454545454545453,0.7142857142857143
moran,direct,1,grid,90,none,4,0.7774974770568681,0.7518796992481204,0.5555555555555556,0.7142857142857143
moran,direct,1,grid,90,none,5,0.7820903010823193,0.7255639097744362,0.5,0.7142857142857143
moran,direct,1,grid,90,none,6,0.7879858841123123,0.7969924812030076,0.5454545454545454,0.8571428571428571
moran,direct,1,grid,120,none,2,0.7382059014253279,0.575187969924812,0.3333333333333333,0.5714285714285714
moran,direct,1,grid,120,none,3,0.7662773075862559,0.6992481203007519,0.45454545454545453,0.7142857142857143
moran,direct,1,grid,120,none,4,0.7813384451654122,0.6992481203007519,0.45454545454545453,0.7142857142857143
moran,direct,1,grid,120,none,5,0.7797772855945161,0.7255639097744362,0.5,0.7142857142857143
moran,direct,1,grid,120,none,6,0.786644653134285,0.7255639097744362,0.5,0.7142857142857143
moran,direct,1,grid,150,none,2,0.7519300810126562,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,150,none,3,0.774939204985786,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,150,none,4,0.7833926097006467,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,150,none,5,0.7905362775629239,0.744360902255639,0.46153846153846156,0.8571428571428571
moran,direct,1,grid,150,none,6,0.7942252086867494,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,30,row,2,0.7326584245299543,0.6203007518796994,0.35714285714285715,0.7142857142857143
moran,direct,1,grid,30,row,3,0.7587255769211614,0.744360902255639,0.46153846153846156,0.8571428571428571
