type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,auc,precision,recall
moran,direct,1,grid,30,none,2,0.9154135338345865,0.9230769230769231,0.8571428571428571
moran,direct,1,grid,30,none,3,0.8665413533834586,0.8461538461538461,0.7857142857142857
moran,direct,1,grid,30,none,4,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,30,none,5,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,30,none,6,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,60,none,2,0.9154135338345865,0.9230769230769231,0.8571428571428571
moran,direct,1,grid,60,none,3,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,60,none,4,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,60,none,5,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,60,none,6,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,90,none,2,0.9511278195488722,0.9285714285714286,0.9285714285714286
moran,direct,1,grid,90,none,3,0.9022556390977445,0.8571428571428571,0.8571428571428571
moran,direct,1,grid,90,none,4,0.9154135338345865,0.9230769230769231,0.8571428571428571
moran,direct,1,grid,90,none,5,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,90,none,6,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,120,none,2,0.9511278195488722,0.9285714285714286,0.9285714285714286
moran,direct,1,grid,120,none,3,0.9511278195488722,0.9285714285714286,0.9285714285714286
moran,direct,1,grid,120,none,4,0.9511278195488722,0.9285714285714286,0.9285714285714286
moran,direct,1,grid,120,none,5,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,120,none,6,0.8571428571428572,1.0,0.7142857142857143
moran,direct,1,grid,150,none,2,0.9379699248120301,0.8666666666666667,0.9285714285714286
moran,direct,1,grid,150,none,3,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,150,none,4,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,150,none,5,0.8796992481203008,0.9166666666666666,0.7857142857142857
moran,direct,1,grid,150,none,6,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,30,row,2,0.9154135338345865,0.9230769230769231,0.8571428571428571
moran,direct,1,grid,30,row,3,0.9154135338345865,0.9230769230769231,0.8571428571428571
moran,direct,1,grid,30,row,4,0.9642857142857143,1.0,0.9285714285714286
moran,direct,1,grid,30,row,5,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,30,row,6,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,60,row,2,0.9154135338345865,0.9230769230769231,0.8571428571428571
moran,direct,1,grid,60,row,3,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,60,row,4,0.9154135338345865,0.9230769230769231,0.8571428571428571
moran,direct,1,grid,60,row,5,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,60,row,6,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,90,row,2,0.9511278195488722,0.9285714285714286,0.9285714285714286
moran,direct,1,grid,90,row,3,0.9022556390977445,0.8571428571428571,0.8571428571428571
moran,direct,1,grid,90,row,4,0.9154135338345865,0.9230769230769231,0.8571428571428571
moran,direct,1,grid,90,row,5,0.8796992481203008,0.9166666666666666,0.7857142857142857
moran,direct,1,grid,90,row,6,0.9285714285714286,1.0,0.8571428571428571
moran,direct,1,grid,120,row,2,0.9379699248120301,0.8666666666666667,0.9285714285714286
moran,direct,1,grid,120,row,3,0.9511278195488722,0.9285714285714286,0.9285714285714286
moran,direct,1,grid,120,row,4,0.9511278195488722,0.9285714285714286,0.9285714285714286
moran,direct,1,grid,120,row,5,0.8439849624060152,0.9090909090909091,0.7142857142857143
moran,direct,1,grid,120,row,6,0.8928571428571428,1.0,0.7857142857142857
moran,direct,1,grid,150,row,2,0.924812030075188,0.8125,0.9285714285714286
moran,direct,1,grid,150,row,3,0.9285714285714286,1.0,0.8571428571428571
