type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,grid,5,True,5,0.7033450561066841,0.5445601851851851,0.3333333333333333,0.21875
scatter,none,1,grid,5,True,10,0.7516323792486583,0.5428240740740741,0.35294117647058826,0.1875
scatter,none,1,grid,5,True,15,0.770962080555104,0.5787037037037037,0.4444444444444444,0.25
scatter,none,1,grid,10,True,5,0.9183647747601235,0.8159722222222222,0.7857142857142857,0.6875
scatter,none,1,grid,10,True,10,0.929928646934461,0.7893518518518519,0.8,0.625
scatter,none,1,grid,10,True,15,0.9189109340272132,0.8472222222222222,0.8,0.75
scatter,none,1,grid,20,True,5,0.9584668238738006,0.9438657407407408,0.9354838709677419,0.90625
scatter,none,1,grid,20,True,10,0.9584454789396648,0.8813657407407407,0.9259259259259259,0.78125
scatter,none,1,grid,20,True,15,0.9627805334200683,0.876736111111111,0.8928571428571429,0.78125
scatter,none,1,grid,5,False,5,0.6988826096384236,0.5399305555555556,0.3181818181818182,0.21875
scatter,none,1,grid,5,False,10,0.748674920041199,0.5364583333333333,0.35714285714285715,0.15625
scatter,none,1,grid,5,False,15,0.7765063424947147,0.5833333333333333,0.47058823529411764,0.25
scatter,none,1,grid,10,False,5,0.9680530709600477,0.9143518518518519,0.8484848484848485,0.875
scatter,none,1,grid,10,False,10,0.957760747004933,0.8223379629629629,0.7419354838709677,0.71875
scatter,none,1,grid,10,False,15,0.9347051688621457,0.8894675925925927,0.7941176470588235,0.84375
scatter,none,1,grid,20,False,5,0.9723044397463003,0.9033564814814815,0.8709677419354839,0.84375
scatter,none,1,grid,20,False,10,0.9717355803111618,0.861111111111111,0.8888888888888888,0.75
scatter,none,1,grid,20,False,15,0.9619704423483494,0.8298611111111112,0.88,0.6875
scatter,none,3,grid,5,True,5,0.7325256139209627,0.7413194444444444,0.6129032258064516,0.59375
scatter,none,3,grid,5,True,10,0.7708377378435519,0.7349537037037037,0.6428571428571429,0.5625
scatter,none,3,grid,5,True,15,0.79369274136716,0.7881944444444444,0.6470588235294118,0.6875
scatter,none,3,grid,10,True,5,0.8246384913536076,0.7760416666666667,0.5609756097560976,0.71875
scatter,none,3,grid,10,True,10,0.8426116035127663,0.7569444444444444,0.625,0.625
scatter,none,3,grid,10,True,15,0.8260594541117797,0.7835648148148148,0.6285714285714286,0.6875
scatter,none,3,grid,20,True,5,0.7539681248983575,0.7737268518518519,0.7916666666666666,0.59375
scatter,none,3,grid,20,True,10,0.8053291185558628,0.6487268518518519,0.6875,0.34375
scatter,none,3,grid,20,True,15,0.8287953325744024,0.6585648148148148,0.5185185185185185,0.4375
scatter,none,3,grid,5,False,5,0.7331358079904591,0.7413194444444444,0.6129032258064516,0.59375
scatter,none,3,grid,5,False,10,0.7728580527999133,0.7349537037037037,0.6428571428571429,0.5625
