type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,3,0.7519321895424836,0.63125,0.5517241379310345,0.5333333333333333
scatter,none,1,3,5,True,5,0.7631535947712418,0.5541666666666667,0.4358974358974359,0.5666666666666667
scatter,none,1,3,5,True,10,0.7589746732026142,0.5041666666666668,0.3888888888888889,0.4666666666666667
scatter,none,1,3,5,True,15,0.7678104575163398,0.5375,0.42105263157894735,0.5333333333333333
scatter,none,1,3,10,True,3,0.8267156862745096,0.6666666666666666,0.6521739130434783,0.5
scatter,none,1,3,10,True,5,0.8032720588235293,0.6812500000000001,0.7368421052631579,0.4666666666666667
scatter,none,1,3,10,True,10,0.8166299019607843,0.6791666666666666,0.8571428571428571,0.4
scatter,none,1,3,10,True,15,0.8114583333333332,0.6791666666666666,0.8571428571428571,0.4
scatter,none,1,3,20,True,3,0.8000612745098039,0.7416666666666667,0.8095238095238095,0.5666666666666667
scatter,none,1,3,20,True,5,0.8093831699346404,0.7083333333333334,0.7894736842105263,0.5
scatter,none,1,3,20,True,10,0.8393341503267975,0.6916666666666668,0.7777777777777778,0.4666666666666667
scatter,none,1,3,20,True,15,0.8374591503267974,0.6916666666666668,0.7777777777777778,0.4666666666666667
scatter,none,1,3,40,True,3,0.7873897058823529,0.725,0.8,0.5333333333333333
scatter,none,1,3,40,True,5,0.821233660130719,0.6812500000000001,0.7368421052631579,0.4666666666666667
scatter,none,1,3,40,True,10,0.8366625816993466,0.6604166666666667,0.6666666666666666,0.4666666666666667
scatter,none,1,3,40,True,15,0.8437949346405228,0.7208333333333333,0.7391304347826086,0.5666666666666667
scatter,none,1,3,80,True,3,0.7692320261437908,0.6770833333333334,0.6818181818181818,0.5
scatter,none,1,3,80,True,5,0.7980473856209149,0.6875,0.7142857142857143,0.5
scatter,none,1,3,80,True,10,0.8292728758169934,0.6937499999999999,0.6956521739130435,0.5333333333333333
scatter,none,1,3,80,True,15,0.8521486928104574,0.6833333333333332,0.6666666666666666,0.5333333333333333
scatter,none,1,3,5,False,3,0.7310457516339869,0.6375,0.5483870967741935,0.5666666666666667
scatter,none,1,3,5,False,5,0.7544035947712417,0.5604166666666666,0.43902439024390244,0.6
scatter,none,1,3,5,False,10,0.7577001633986928,0.5208333333333334,0.40540540540540543,0.5
scatter,none,1,3,5,False,15,0.7733864379084967,0.5333333333333333,0.4146341463414634,0.5666666666666667
scatter,none,1,3,10,False,3,0.7889256535947712,0.63125,0.6875,0.36666666666666664
scatter,none,1,3,10,False,5,0.7882434640522875,0.6458333333333333,0.8333333333333334,0.3333333333333333
scatter,none,1,3,10,False,10,0.7811683006535948,0.6458333333333333,0.8333333333333334,0.3333333333333333
scatter,none,1,3,10,False,15,0.7765073529411765,0.6458333333333333,0.8333333333333334,0.3333333333333333
scatter,none,1,3,20,False,3,0.78125,0.7291666666666666,0.8823529411764706,0.5
scatter,none,1,3,20,False,5,0.7748570261437908,0.6958333333333333,0.8666666666666667,0.43333333333333335
scatter,none,1,3,20,False,10,0.7909150326797385,0.6625,0.8461538461538461,0.36666666666666664
scatter,none,1,3,20,False,15,0.7823897058823529,0.6458333333333333,0.8333333333333334,0.3333333333333333
scatter,none,1,3,40,False,3,0.7709926470588235,0.725,0.8,0.5333333333333333
scatter,none,1,3,40,False,5,0.7827573529411764,0.6916666666666668,0.7777777777777778,0.4666666666666667
scatter,none,1,3,40,False,10,0.806315359477124,0.6458333333333333,0.8333333333333334,0.3333333333333333
scatter,none,1,3,40,False,15,0.8114869281045751,0.6625,0.8461538461538461,0.36666666666666664
scatter,none,1,3,80,False,3,0.7834395424836601,0.6645833333333333,0.7222222222222222,0.43333333333333335
scatter,none,1,3,80,False,5,0.7949183006535947,0.6416666666666666,0.7333333333333333,0.36666666666666664
scatter,none,1,3,80,False,10,0.8015972222222221,0.6625,0.8461538461538461,0.36666666666666664
scatter,none,1,3,80,False,15,0.8000653594771242,0.6625,0.8461538461538461,0.36666666666666664
