type    ,sharpening ,windowSize ,neighbourhood ,buckets ,histnormalise ,k-nearest ,auc                ,precision          ,recall
scatter ,direct     ,         1 ,grid          ,     30 ,none          ,        2 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     30 ,none          ,        3 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     30 ,none          ,        4 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     30 ,none          ,        5 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     30 ,none          ,        6 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     60 ,none          ,        2 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     60 ,none          ,        3 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     60 ,none          ,        4 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     60 ,none          ,        5 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     60 ,none          ,        6 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     90 ,none          ,        2 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     90 ,none          ,        3 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     90 ,none          ,        4 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     90 ,none          ,        5 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,     90 ,none          ,        6 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,    120 ,none          ,        2 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,    120 ,none          ,        3 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,    120 ,none          ,        4 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,    120 ,none          ,        5 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,    120 ,none          ,        6 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,    150 ,none          ,        2 ,0.9285714285714286 ,1.0                ,0.8571428571428571
scatter ,direct     ,         1 ,grid          ,    150 ,none          ,        3 ,0.9285714285714286 ,1.0                ,0.8571428571428571
