type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
spatstat,diagonal,5,euclidean,120,none,5,0.8960857355736286,0.7180451127819549,0.42857142857142855,0.8571428571428571
spatstat,diagonal,5,euclidean,120,row,6,0.893118331076014,0.7180451127819549,0.42857142857142855,0.8571428571428571
spatstat,diagonal,5,euclidean,60,none,5,0.8930567127235232,0.7180451127819549,0.42857142857142855,0.8571428571428571
spatstat,diagonal,5,euclidean,120,row,5,0.8923891172696241,0.7180451127819549,0.42857142857142855,0.8571428571428571
spatstat,diagonal,5,euclidean,60,none,6,0.8922027853919655,0.7180451127819549,0.42857142857142855,0.8571428571428571
spatstat,diagonal,5,euclidean,120,none,6,0.8920930218933038,0.7180451127819549,0.42857142857142855,0.8571428571428571
spatstat,diagonal,5,grid,60,none,6,0.8915334807863877,0.7894736842105263,0.4666666666666667,1.0
spatstat,diagonal,5,euclidean,60,row,5,0.8909530944938648,0.6917293233082707,0.4,0.8571428571428571
spatstat,diagonal,5,euclidean,60,row,6,0.8901024945533417,0.6917293233082707,0.4,0.8571428571428571
spatstat,diagonal,5,euclidean,60,none,4,0.8892346717782289,0.8157894736842105,0.5,1.0
spatstat,diagonal,5,grid,120,none,6,0.8888395991453434,0.744360902255639,0.46153846153846156,0.8571428571428571
spatstat,diagonal,1,grid,150,none,6,0.8886060716502243,0.5676691729323309,0.3125,0.7142857142857143
spatstat,diagonal,5,euclidean,150,none,6,0.8885837718674441,0.6917293233082707,0.4,0.8571428571428571
scatter,direct,5,grid,30,row,5,0.8883703218538679,0.8421052631578947,0.5384615384615384,1.0
spatstat,diagonal,5,grid,60,row,6,0.8883219261937395,0.7894736842105263,0.4666666666666667,1.0
spatstat,diagonal,5,euclidean,120,none,4,0.8882279491149584,0.7180451127819549,0.42857142857142855,0.8571428571428571
spatstat,diagonal,5,grid,60,row,5,0.8880229398055365,0.7180451127819549,0.42857142857142855,0.8571428571428571
spatstat,diagonal,1,euclidean,150,row,6,0.8877133308174191,0.6466165413533835,0.38461538461538464,0.7142857142857143
spatstat,diagonal,5,grid,150,none,6,0.8875571171823484,0.7894736842105263,0.4666666666666667,1.0
scatter,direct,3,grid,30,row,4,0.8875440217672385,0.7706766917293233,0.5,0.8571428571428571
scatter,direct,5,grid,30,row,6,0.8873754036507157,0.8421052631578947,0.5384615384615384,1.0
spatstat,diagonal,5,grid,120,row,6,0.8870925491492223,0.744360902255639,0.46153846153846156,0.8571428571428571
scatter,direct,3,grid,30,none,6,0.8864917217258634,0.7706766917293233,0.5,0.8571428571428571
scatter,direct,3,grid,30,row,6,0.8861254400156451,0.7706766917293233,0.5,0.8571428571428571
scatter,direct,3,grid,30,none,4,0.8857990809370193,0.6992481203007519,0.45454545454545453,0.7142857142857143
scatter,direct,3,euclidean,120,none,6,0.885741771828655,0.7894736842105263,0.4666666666666667,1.0
spatstat,diagonal,1,euclidean,150,none,6,0.8857089989462251,0.6466165413533835,0.38461538461538464,0.7142857142857143
spatstat,diagonal,5,euclidean,150,row,5,0.8856841536183913,0.6917293233082707,0.4,0.8571428571428571
spatstat,diagonal,5,euclidean,90,none,6,0.8854990036009361,0.6203007518796994,0.35714285714285715,0.7142857142857143
scatter,direct,5,grid,30,none,6,0.8854720672896652,0.8421052631578947,0.5384615384615384,1.0
spatstat,diagonal,5,grid,90,row,6,0.8854364215778178,0.7894736842105263,0.4666666666666667,1.0
spatstat,diagonal,5,grid,60,row,4,0.8852961761872745,0.7180451127819549,0.42857142857142855,0.8571428571428571
scatter,direct,3,grid,30,none,5,0.8852017990942708,0.7180451127819549,0.42857142857142855,0.8571428571428571
spatstat,diagonal,5,euclidean,120,row,4,0.8851159536177449,0.7180451127819549,0.42857142857142855,0.8571428571428571
spatstat,diagonal,5,grid,150,row,6,0.8847865035201252,0.8157894736842105,0.5,1.0
spatstat,diagonal,1,euclidean,150,none,5,0.8846744672133797,0.6466165413533835,0.38461538461538464,0.7142857142857143
spatstat,diagonal,1,grid,150,row,6,0.8844997943361218,0.5676691729323309,0.3125,0.7142857142857143
spatstat,diagonal,5,grid,90,none,6,0.8844440307372544,0.7894736842105263,0.4666666666666667,1.0
scatter,direct,3,euclidean,150,row,6,0.8843455080423063,0.8421052631578947,0.5384615384615384,1.0
scatter,direct,3,grid,30,row,5,0.8843068581832405,0.744360902255639,0.46153846153846156,0.8571428571428571
scatter,direct,3,euclidean,30,row,6,0.8842886898604879,0.868421052631579,0.5833333333333334,1.0
spatstat,direct,5,euclidean,120,none,6,0.8841359308937046,0.8157894736842105,0.5,1.0
spatstat,diagonal,5,grid,60,none,5,0.884129967045293,0.7894736842105263,0.4666666666666667,1.0
spatstat,diagonal,1,euclidean,120,none,6,0.8840479035214182,0.6466165413533835,0.38461538461538464,0.7142857142857143
scatter,direct,5,grid,30,none,5,0.8839946127377459,0.8421052631578947,0.5384615384615384,1.0
scatter,diagonal,1,grid,120,none,6,0.8837512808536223,0.7631578947368421,0.4375,1.0
spatstat,diagonal,5,euclidean,150,row,6,0.883552017203036,0.6917293233082707,0.4,0.8571428571428571
scatter,direct,3,euclidean,150,none,6,0.8833519717064687,0.8157894736842105,0.5,1.0
