type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
moran,direct,1,grid,30,none,2,0.7914818769164357,0.9473684210526316,0.7777777777777778,1.0
moran,direct,1,grid,30,none,3,0.8169256662694258,0.9473684210526316,0.7777777777777778,1.0
moran,direct,1,grid,30,none,4,0.8255774310528491,0.9736842105263158,0.875,1.0
moran,direct,1,grid,30,none,5,0.8330817231413988,0.9210526315789473,0.7,1.0
moran,direct,1,grid,30,none,6,0.8356449284817673,0.8947368421052632,0.6363636363636364,1.0
moran,direct,1,grid,60,none,2,0.7807333772584549,0.8421052631578947,0.5384615384615384,1.0
moran,direct,1,grid,60,none,3,0.8089543005054283,0.7969924812030076,0.5454545454545454,0.8571428571428571
moran,direct,1,grid,60,none,4,0.8231952101280434,0.7969924812030076,0.5454545454545454,0.8571428571428571
moran,direct,1,grid,60,none,5,0.8338103030016935,0.8233082706766918,0.6,0.8571428571428571
moran,direct,1,grid,60,none,6,0.8368856155098578,0.7969924812030076,0.5454545454545454,0.8571428571428571
moran,direct,1,grid,90,none,2,0.7790949938276223,0.868421052631579,0.5833333333333334,1.0
moran,direct,1,grid,90,none,3,0.8147184808677075,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,90,none,4,0.830278043644262,0.8421052631578947,0.5384615384615384,1.0
moran,direct,1,grid,90,none,5,0.8383419435626761,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,90,none,6,0.8443374175234959,0.7706766917293233,0.5,0.8571428571428571
moran,direct,1,grid,120,none,2,0.7797996471145694,0.7781954887218044,0.625,0.7142857142857143
moran,direct,1,grid,120,none,3,0.8105069937284604,0.7518796992481204,0.5555555555555556,0.7142857142857143
moran,direct,1,grid,120,none,4,0.8285499463813656,0.7781954887218044,0.625,0.7142857142857143
moran,direct,1,grid,120,none,5,0.8343589112181107,0.7781954887218044,0.625,0.7142857142857143
moran,direct,1,grid,120,none,6,0.8392346227189813,0.8045112781954888,0.7142857142857143,0.7142857142857143
moran,direct,1,grid,150,none,2,0.7948815737009802,0.8233082706766918,0.6,0.8571428571428571
moran,direct,1,grid,150,none,3,0.8188209965940588,0.8233082706766918,0.6,0.8571428571428571
moran,direct,1,grid,150,none,4,0.8286901184360221,0.849624060150376,0.6666666666666666,0.8571428571428571
moran,direct,1,grid,150,none,5,0.8349588473270249,0.7969924812030076,0.5454545454545454,0.8571428571428571
