type    ,sharpening ,windowSize ,neighbourhood ,buckets ,histnormalise ,k-nearest ,auc                ,precision           ,recall
moran   ,direct     ,         1 ,grid          ,     30 ,none          ,        2 ,0.8336466165413533 ,0.7096774193548387  ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,     30 ,none          ,        3 ,0.8778195488721805 ,0.8214285714285714  ,0.8214285714285714
moran   ,direct     ,         1 ,grid          ,     30 ,none          ,        4 ,0.8712406015037594 ,0.7931034482758621  ,0.8214285714285714
moran   ,direct     ,         1 ,grid          ,     30 ,none          ,        5 ,0.8533834586466165 ,0.7857142857142857  ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,     30 ,none          ,        6 ,0.824248120300752  ,0.8                 ,0.7142857142857143
moran   ,direct     ,         1 ,grid          ,     60 ,none          ,        2 ,0.824248120300752  ,0.8                 ,0.7142857142857143
moran   ,direct     ,         1 ,grid          ,     60 ,none          ,        3 ,0.8421052631578948 ,0.8076923076923077  ,0.75
moran   ,direct     ,         1 ,grid          ,     60 ,none          ,        4 ,0.8599624060150376 ,0.8148148148148148  ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,     60 ,none          ,        5 ,0.8731203007518796 ,0.88                ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,     60 ,none          ,        6 ,0.8909774436090225 ,0.8846153846153846  ,0.8214285714285714
moran   ,direct     ,         1 ,grid          ,     90 ,none          ,        2 ,0.8063909774436091 ,0.7916666666666666  ,0.6785714285714286
moran   ,direct     ,         1 ,grid          ,     90 ,none          ,        3 ,0.8486842105263158 ,0.84                ,0.75
moran   ,direct     ,         1 ,grid          ,     90 ,none          ,        4 ,0.8421052631578948 ,0.8076923076923077  ,0.75
moran   ,direct     ,         1 ,grid          ,     90 ,none          ,        5 ,0.8665413533834586 ,0.8461538461538461  ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,     90 ,none          ,        6 ,0.8796992481203008 ,0.9166666666666666  ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,    120 ,none          ,        2 ,0.8063909774436091 ,0.7916666666666666  ,0.6785714285714286
moran   ,direct     ,         1 ,grid          ,    120 ,none          ,        3 ,0.9154135338345865 ,0.9230769230769231  ,0.8571428571428571
moran   ,direct     ,         1 ,grid          ,    120 ,none          ,        4 ,0.8975563909774437 ,0.92                ,0.8214285714285714
moran   ,direct     ,         1 ,grid          ,    120 ,none          ,        5 ,0.8261278195488722 ,0.9047619047619048  ,0.6785714285714286
moran   ,direct     ,         1 ,grid          ,    120 ,none          ,        6 ,0.8618421052631579 ,0.9130434782608695  ,0.75
moran   ,direct     ,         1 ,grid          ,    150 ,none          ,        2 ,0.8289473684210527 ,0.75                ,0.75
moran   ,direct     ,         1 ,grid          ,    150 ,none          ,        3 ,0.8665413533834586 ,0.8461538461538461  ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,    150 ,none          ,        4 ,0.8355263157894737 ,0.7777777777777778  ,0.75
moran   ,direct     ,         1 ,grid          ,    150 ,none          ,        5 ,0.8468045112781954 ,0.7586206896551724  ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,    150 ,none          ,        6 ,0.8336466165413533 ,0.7096774193548387  ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,     30 ,row           ,        2 ,0.8157894736842105 ,0.7                 ,0.75
moran   ,direct     ,         1 ,grid          ,     30 ,row           ,        3 ,0.8045112781954888 ,0.7142857142857143  ,0.7142857142857143
moran   ,direct     ,         1 ,grid          ,     30 ,row           ,        4 ,0.81109022556391   ,0.7407407407407407  ,0.7142857142857143
moran   ,direct     ,         1 ,grid          ,     30 ,row           ,        5 ,0.7706766917293234 ,0.7727272727272727  ,0.6071428571428571
moran   ,direct     ,         1 ,grid          ,     30 ,row           ,        6 ,0.8355263157894737 ,0.7777777777777778  ,0.75
moran   ,direct     ,         1 ,grid          ,     60 ,row           ,        2 ,0.8599624060150376 ,0.8148148148148148  ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,     60 ,row           ,        3 ,0.8289473684210527 ,0.75                ,0.75
moran   ,direct     ,         1 ,grid          ,     60 ,row           ,        4 ,0.8533834586466165 ,0.7857142857142857  ,0.7857142857142857
moran   ,direct     ,         1 ,grid          ,     60 ,row           ,        5 ,0.837406015037594  ,0.8695652173913043  ,0.7142857142857143
moran   ,direct     ,         1 ,grid          ,     60 ,row           ,        6 ,0.8552631578947368 ,0.875               ,0.75
moran   ,direct     ,         1 ,grid          ,     90 ,row           ,        2 ,0.830827067669173  ,0.8333333333333334  ,0.7142857142857143
moran   ,direct     ,         1 ,grid          ,     90 ,row           ,        3 ,0.8486842105263158 ,0.84                ,0.75
moran   ,direct     ,         1 ,grid          ,     90 ,row           ,        4 ,0.8421052631578948 ,0.8076923076923077  ,0.75
moran   ,direct     ,         1 ,grid          ,     90 ,row           ,        5 ,0.8552631578947368 ,0.875               ,0.75
moran   ,direct     ,         1 ,grid          ,     90 ,row           ,        6 ,0.8618421052631579 ,0.9130434782608695  ,0.75
moran   ,direct     ,         1 ,grid          ,    120 ,row           ,        2 ,0.8063909774436091 ,0.7916666666666666  ,0.6785714285714286
moran   ,direct     ,         1 ,grid          ,    120 ,row           ,        3 ,0.8552631578947368 ,0.875               ,0.75
moran   ,direct     ,         1 ,grid          ,    120 ,row           ,        4 ,0.837406015037594  ,0.8695652173913043  ,0.7142857142857143
moran   ,direct     ,         1 ,grid          ,    120 ,row           ,        5 ,0.8505639097744361 ,0.9523809523809523  ,0.7142857142857143
moran   ,direct     ,         1 ,grid          ,    120 ,row           ,        6 ,0.8148496240601503 ,0.9473684210526315  ,0.6428571428571429
moran   ,direct     ,         1 ,grid          ,    150 ,row           ,        2 ,0.8223684210526316 ,0.7241379310344828  ,0.75
moran   ,direct     ,         1 ,grid          ,    150 ,row           ,        3 ,0.8909774436090225 ,0.8846153846153846  ,0.8214285714285714
moran   ,direct     ,         1 ,grid          ,    150 ,row           ,        4 ,0.8355263157894737 ,0.7777777777777778  ,0.75
moran   ,direct     ,         1 ,grid          ,    150 ,row           ,        5 ,0.8486842105263158 ,0.84                ,0.75
moran   ,direct     ,         1 ,grid          ,    150 ,row           ,        6 ,0.8599624060150376 ,0.8148148148148148  ,0.7857142857142857
moran   ,direct     ,         1 ,euclidean     ,     30 ,none          ,        2 ,0.8599624060150376 ,0.8148148148148148  ,0.7857142857142857
moran   ,direct     ,         1 ,euclidean     ,     30 ,none          ,        3 ,0.8486842105263158 ,0.84                ,0.75
moran   ,direct     ,         1 ,euclidean     ,     30 ,none          ,        4 ,0.8421052631578948 ,0.8076923076923077  ,0.75
moran   ,direct     ,         1 ,euclidean     ,     30 ,none          ,        5 ,0.8016917293233082 ,0.8571428571428571  ,0.6428571428571429
moran   ,direct     ,         1 ,euclidean     ,     30 ,none          ,        6 ,0.8327067669172932 ,0.95                ,0.6785714285714286
moran   ,direct     ,         1 ,euclidean     ,     60 ,none          ,        2 ,0.9041353383458646 ,0.9583333333333334  ,0.8214285714285714
moran   ,direct     ,         1 ,euclidean     ,     60 ,none          ,        3 ,0.9577067669172933 ,0.9629629629629629  ,0.9285714285714286
moran   ,direct     ,         1 ,euclidean     ,     60 ,none          ,        4 ,0.9577067669172933 ,0.9629629629629629  ,0.9285714285714286
moran   ,direct     ,         1 ,euclidean     ,     60 ,none          ,        5 ,0.9577067669172933 ,0.9629629629629629  ,0.9285714285714286
moran   ,direct     ,         1 ,euclidean     ,     60 ,none          ,        6 ,0.9642857142857143 ,1.0                 ,0.9285714285714286
moran   ,direct     ,         1 ,euclidean     ,     90 ,none          ,        2 ,0.8778195488721805 ,0.8214285714285714  ,0.8214285714285714
moran   ,direct     ,         1 ,euclidean     ,     90 ,none          ,        3 ,0.9313909774436091 ,0.8387096774193549  ,0.9285714285714286
moran   ,direct     ,         1 ,euclidean     ,     90 ,none          ,        4 ,0.9022556390977445 ,0.8571428571428571  ,0.8571428571428571
moran   ,direct     ,         1 ,euclidean     ,     90 ,none          ,        5 ,0.9445488721804511 ,0.896551724137931   ,0.9285714285714286
moran   ,direct     ,         1 ,euclidean     ,     90 ,none          ,        6 ,0.9266917293233082 ,0.8928571428571429  ,0.8928571428571429
moran   ,direct     ,         1 ,euclidean     ,    120 ,none          ,        2 ,0.9088345864661654 ,0.8888888888888888  ,0.8571428571428571
moran   ,direct     ,         1 ,euclidean     ,    120 ,none          ,        3 ,0.9332706766917294 ,0.9259259259259259  ,0.8928571428571429
moran   ,direct     ,         1 ,euclidean     ,    120 ,none          ,        4 ,0.9154135338345865 ,0.9230769230769231  ,0.8571428571428571
moran   ,direct     ,         1 ,euclidean     ,    120 ,none          ,        5 ,0.8796992481203008 ,0.9166666666666666  ,0.7857142857142857
moran   ,direct     ,         1 ,euclidean     ,    120 ,none          ,        6 ,0.9154135338345865 ,0.9230769230769231  ,0.8571428571428571
moran   ,direct     ,         1 ,euclidean     ,    150 ,none          ,        2 ,0.8956766917293234 ,0.8275862068965517  ,0.8571428571428571
moran   ,direct     ,         1 ,euclidean     ,    150 ,none          ,        3 ,0.9379699248120301 ,0.8666666666666667  ,0.9285714285714286
moran   ,direct     ,         1 ,euclidean     ,    150 ,none          ,        4 ,0.9201127819548873 ,0.8620689655172413  ,0.8928571428571429
moran   ,direct     ,         1 ,euclidean     ,    150 ,none          ,        5 ,0.8731203007518796 ,0.88                ,0.7857142857142857
moran   ,direct     ,         1 ,euclidean     ,    150 ,none          ,        6 ,0.8975563909774437 ,0.92                ,0.8214285714285714
moran   ,direct     ,         1 ,euclidean     ,     30 ,row           ,        2 ,0.8421052631578948 ,0.8076923076923077  ,0.75
moran   ,direct     ,         1 ,euclidean     ,     30 ,row           ,        3 ,0.8599624060150376 ,0.8148148148148148  ,0.7857142857142857
moran   ,direct     ,         1 ,euclidean     ,     30 ,row           ,        4 ,0.824248120300752  ,0.8                 ,0.7142857142857143
moran   ,direct     ,         1 ,euclidean     ,     30 ,row           ,        5 ,0.8016917293233082 ,0.8571428571428571  ,0.6428571428571429
moran   ,direct     ,         1 ,euclidean     ,     30 ,row           ,        6 ,0.837406015037594  ,0.8695652173913043  ,0.7142857142857143
moran   ,direct     ,         1 ,euclidean     ,     60 ,row           ,        2 ,0.8862781954887218 ,0.9565217391304348  ,0.7857142857142857
moran   ,direct     ,         1 ,euclidean     ,     60 ,row           ,        3 ,0.9642857142857143 ,1.0                 ,0.9285714285714286
moran   ,direct     ,         1 ,euclidean     ,     60 ,row           ,        4 ,0.9464285714285714 ,1.0                 ,0.8928571428571429
moran   ,direct     ,         1 ,euclidean     ,     60 ,row           ,        5 ,0.9464285714285714 ,1.0                 ,0.8928571428571429
moran   ,direct     ,         1 ,euclidean     ,     60 ,row           ,        6 ,0.9642857142857143 ,1.0                 ,0.9285714285714286
moran   ,direct     ,         1 ,euclidean     ,     90 ,row           ,        2 ,0.8843984962406015 ,0.8518518518518519  ,0.8214285714285714
moran   ,direct     ,         1 ,euclidean     ,     90 ,row           ,        3 ,0.9201127819548873 ,0.8620689655172413  ,0.8928571428571429
moran   ,direct     ,         1 ,euclidean     ,     90 ,row           ,        4 ,0.9201127819548873 ,0.8620689655172413  ,0.8928571428571429
moran   ,direct     ,         1 ,euclidean     ,     90 ,row           ,        5 ,0.9445488721804511 ,0.896551724137931   ,0.9285714285714286
moran   ,direct     ,         1 ,euclidean     ,     90 ,row           ,        6 ,0.9088345864661654 ,0.8888888888888888  ,0.8571428571428571
moran   ,direct     ,         1 ,euclidean     ,    120 ,row           ,        2 ,0.9088345864661654 ,0.8888888888888888  ,0.8571428571428571
moran   ,direct     ,         1 ,euclidean     ,    120 ,row           ,        3 ,0.9332706766917294 ,0.9259259259259259  ,0.8928571428571429
moran   ,direct     ,         1 ,euclidean     ,    120 ,row           ,        4 ,0.9154135338345865 ,0.9230769230769231  ,0.8571428571428571
moran   ,direct     ,         1 ,euclidean     ,    120 ,row           ,        5 ,0.8975563909774437 ,0.92                ,0.8214285714285714
moran   ,direct     ,         1 ,euclidean     ,    120 ,row           ,        6 ,0.8975563909774437 ,0.92                ,0.8214285714285714
moran   ,direct     ,         1 ,euclidean     ,    150 ,row           ,        2 ,0.9088345864661654 ,0.8888888888888888  ,0.8571428571428571
moran   ,direct     ,         1 ,euclidean     ,    150 ,row           ,        3 ,0.9088345864661654 ,0.8888888888888888  ,0.8571428571428571
moran   ,direct     ,         1 ,euclidean     ,    150 ,row           ,        4 ,0.8909774436090225 ,0.8846153846153846  ,0.8214285714285714
moran   ,direct     ,         1 ,euclidean     ,    150 ,row           ,        5 ,0.8552631578947368 ,0.875               ,0.75
moran   ,direct     ,         1 ,euclidean     ,    150 ,row           ,        6 ,0.8618421052631579 ,0.9130434782608695  ,0.75
moran   ,direct     ,         3 ,grid          ,     30 ,none          ,        2 ,0.7800751879699248 ,0.6785714285714286  ,0.6785714285714286
moran   ,direct     ,         3 ,grid          ,     30 ,none          ,        3 ,0.8261278195488722 ,0.9047619047619048  ,0.6785714285714286
moran   ,direct     ,         3 ,grid          ,     30 ,none          ,        4 ,0.8195488721804511 ,0.8636363636363636  ,0.6785714285714286
moran   ,direct     ,         3 ,grid          ,     30 ,none          ,        5 ,0.8129699248120302 ,0.8260869565217391  ,0.6785714285714286
moran   ,direct     ,         3 ,grid          ,     30 ,none          ,        6 ,0.8327067669172932 ,0.95                ,0.6785714285714286
moran   ,direct     ,         3 ,grid          ,     60 ,none          ,        2 ,0.824248120300752  ,0.8                 ,0.7142857142857143
moran   ,direct     ,         3 ,grid          ,     60 ,none          ,        3 ,0.7969924812030076 ,0.9444444444444444  ,0.6071428571428571
moran   ,direct     ,         3 ,grid          ,     60 ,none          ,        4 ,0.7969924812030076 ,0.9444444444444444  ,0.6071428571428571
moran   ,direct     ,         3 ,grid          ,     60 ,none          ,        5 ,0.7791353383458647 ,0.9411764705882353  ,0.5714285714285714
moran   ,direct     ,         3 ,grid          ,     60 ,none          ,        6 ,0.7904135338345865 ,0.8947368421052632  ,0.6071428571428571
moran   ,direct     ,         3 ,grid          ,     90 ,none          ,        2 ,0.7951127819548872 ,0.8181818181818182  ,0.6428571428571429
moran   ,direct     ,         3 ,grid          ,     90 ,none          ,        3 ,0.8148496240601503 ,0.9473684210526315  ,0.6428571428571429
moran   ,direct     ,         3 ,grid          ,     90 ,none          ,        4 ,0.7969924812030076 ,0.9444444444444444  ,0.6071428571428571
moran   ,direct     ,         3 ,grid          ,     90 ,none          ,        5 ,0.7725563909774436 ,0.8888888888888888  ,0.5714285714285714
moran   ,direct     ,         3 ,grid          ,     90 ,none          ,        6 ,0.8082706766917294 ,0.9                 ,0.6428571428571429
moran   ,direct     ,         3 ,grid          ,    120 ,none          ,        2 ,0.7819548872180451 ,0.75                ,0.6428571428571429
moran   ,direct     ,         3 ,grid          ,    120 ,none          ,        3 ,0.8148496240601503 ,0.9473684210526315  ,0.6428571428571429
moran   ,direct     ,         3 ,grid          ,    120 ,none          ,        4 ,0.8327067669172932 ,0.95                ,0.6785714285714286
moran   ,direct     ,         3 ,grid          ,    120 ,none          ,        5 ,0.7725563909774436 ,0.8888888888888888  ,0.5714285714285714
moran   ,direct     ,         3 ,grid          ,    120 ,none          ,        6 ,0.8082706766917294 ,0.9                 ,0.6428571428571429
moran   ,direct     ,         3 ,grid          ,    150 ,none          ,        2 ,0.81109022556391   ,0.7407407407407407  ,0.7142857142857143
moran   ,direct     ,         3 ,grid          ,    150 ,none          ,        3 ,0.7481203007518796 ,0.8333333333333334  ,0.5357142857142857
moran   ,direct     ,         3 ,grid          ,    150 ,none          ,        4 ,0.8261278195488722 ,0.9047619047619048  ,0.6785714285714286
moran   ,direct     ,         3 ,grid          ,    150 ,none          ,        5 ,0.7725563909774436 ,0.8888888888888888  ,0.5714285714285714
moran   ,direct     ,         3 ,grid          ,    150 ,none          ,        6 ,0.8148496240601503 ,0.9473684210526315  ,0.6428571428571429
moran   ,direct     ,         3 ,grid          ,     30 ,row           ,        2 ,0.7443609022556391 ,0.6538461538461539  ,0.6071428571428571
moran   ,direct     ,         3 ,grid          ,     30 ,row           ,        3 ,0.7951127819548872 ,0.8181818181818182  ,0.6428571428571429
moran   ,direct     ,         3 ,grid          ,     30 ,row           ,        4 ,0.8016917293233082 ,0.8571428571428571  ,0.6428571428571429
