type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,auc,precision,recall
moran,direct,1,grid,30,none,2,0.7908834586466165,0.7551020408163265,0.6607142857142857
moran,direct,1,grid,30,none,3,0.7697368421052632,0.7291666666666666,0.625
moran,direct,1,grid,30,none,4,0.7730263157894737,0.7446808510638298,0.625
moran,direct,1,grid,30,none,5,0.7852443609022556,0.7659574468085106,0.6428571428571429
moran,direct,1,grid,30,none,6,0.7706766917293234,0.7727272727272727,0.6071428571428571
moran,direct,1,grid,60,none,2,0.8364661654135338,0.82,0.7321428571428571
moran,direct,1,grid,60,none,3,0.8439849624060152,0.9090909090909091,0.7142857142857143
moran,direct,1,grid,60,none,4,0.8552631578947368,0.875,0.75
moran,direct,1,grid,60,none,5,0.8049812030075187,0.8780487804878049,0.6428571428571429
moran,direct,1,grid,60,none,6,0.8228383458646616,0.8837209302325582,0.6785714285714286
moran,direct,1,grid,90,none,2,0.825187969924812,0.8478260869565217,0.6964285714285714
moran,direct,1,grid,90,none,3,0.8284774436090225,0.8666666666666667,0.6964285714285714
moran,direct,1,grid,90,none,4,0.8406954887218046,0.8888888888888888,0.7142857142857143
moran,direct,1,grid,90,none,5,0.8228383458646616,0.8837209302325582,0.6785714285714286
moran,direct,1,grid,90,none,6,0.8406954887218046,0.8888888888888888,0.7142857142857143
moran,direct,1,grid,120,none,2,0.8129699248120302,0.8260869565217391,0.6785714285714286
moran,direct,1,grid,120,none,3,0.8552631578947368,0.875,0.75
moran,direct,1,grid,120,none,4,0.8552631578947368,0.875,0.75
moran,direct,1,grid,120,none,5,0.8496240601503758,0.8913043478260869,0.7321428571428571
moran,direct,1,grid,120,none,6,0.8439849624060152,0.9090909090909091,0.7142857142857143
moran,direct,1,grid,150,none,2,0.8176691729323309,0.7692307692307693,0.7142857142857143
moran,direct,1,grid,150,none,3,0.8007518796992481,0.8043478260869565,0.6607142857142857
moran,direct,1,grid,150,none,4,0.8153195488721805,0.7959183673469388,0.6964285714285714
moran,direct,1,grid,150,none,5,0.8228383458646616,0.8837209302325582,0.6785714285714286
moran,direct,1,grid,150,none,6,0.8261278195488722,0.9047619047619048,0.6785714285714286
moran,direct,1,grid,30,row,2,0.763157894736842,0.7,0.625
moran,direct,1,grid,30,row,3,0.7697368421052632,0.7291666666666666,0.625
moran,direct,1,grid,30,row,4,0.7763157894736842,0.7608695652173914,0.625
moran,direct,1,grid,30,row,5,0.799812030075188,0.76,0.6785714285714286
moran,direct,1,grid,30,row,6,0.7763157894736842,0.7608695652173914,0.625
moran,direct,1,grid,60,row,2,0.825187969924812,0.8478260869565217,0.6964285714285714
moran,direct,1,grid,60,row,3,0.8284774436090225,0.8666666666666667,0.6964285714285714
moran,direct,1,grid,60,row,4,0.8284774436090225,0.8666666666666667,0.6964285714285714
moran,direct,1,grid,60,row,5,0.8406954887218046,0.8888888888888888,0.7142857142857143
moran,direct,1,grid,60,row,6,0.8284774436090225,0.8666666666666667,0.6964285714285714
moran,direct,1,grid,90,row,2,0.825187969924812,0.8478260869565217,0.6964285714285714
moran,direct,1,grid,90,row,3,0.8228383458646616,0.8837209302325582,0.6785714285714286
moran,direct,1,grid,90,row,4,0.8350563909774437,0.9069767441860465,0.6964285714285714
moran,direct,1,grid,90,row,5,0.8284774436090225,0.8666666666666667,0.6964285714285714
moran,direct,1,grid,90,row,6,0.8406954887218046,0.8888888888888888,0.7142857142857143
moran,direct,1,grid,120,row,2,0.8162593984962406,0.8444444444444444,0.6785714285714286
moran,direct,1,grid,120,row,3,0.8350563909774437,0.9069767441860465,0.6964285714285714
moran,direct,1,grid,120,row,4,0.8463345864661654,0.8723404255319149,0.7321428571428571
moran,direct,1,grid,120,row,5,0.8350563909774437,0.9069767441860465,0.6964285714285714
moran,direct,1,grid,120,row,6,0.8406954887218046,0.8888888888888888,0.7142857142857143
moran,direct,1,grid,150,row,2,0.8143796992481204,0.7547169811320755,0.7142857142857143
moran,direct,1,grid,150,row,3,0.8153195488721805,0.7959183673469388,0.6964285714285714
moran,direct,1,grid,150,row,4,0.8364661654135338,0.82,0.7321428571428571
moran,direct,1,grid,150,row,5,0.8228383458646616,0.8837209302325582,0.6785714285714286
moran,direct,1,grid,150,row,6,0.831766917293233,0.8863636363636364,0.6964285714285714
moran,direct,1,euclidean,30,none,2,0.7612781954887217,0.6379310344827587,0.6607142857142857
moran,direct,1,euclidean,30,none,3,0.8200187969924813,0.7454545454545455,0.7321428571428571
moran,direct,1,euclidean,30,none,4,0.7955827067669172,0.7090909090909091,0.6964285714285714
moran,direct,1,euclidean,30,none,5,0.8078007518796994,0.7272727272727273,0.7142857142857143
moran,direct,1,euclidean,30,none,6,0.8021616541353384,0.7358490566037735,0.6964285714285714
moran,direct,1,euclidean,60,none,2,0.8176691729323309,0.7692307692307693,0.7142857142857143
moran,direct,1,euclidean,60,none,3,0.8129699248120302,0.8260869565217391,0.6785714285714286
moran,direct,1,euclidean,60,none,4,0.831766917293233,0.8863636363636364,0.6964285714285714
moran,direct,1,euclidean,60,none,5,0.8171992481203006,0.9024390243902439,0.6607142857142857
moran,direct,1,euclidean,60,none,6,0.8294172932330828,0.926829268292683,0.6785714285714286
moran,direct,1,euclidean,90,none,2,0.8209586466165414,0.7843137254901961,0.7142857142857143
moran,direct,1,euclidean,90,none,3,0.8397556390977444,0.8367346938775511,0.7321428571428571
moran,direct,1,euclidean,90,none,4,0.8463345864661654,0.8723404255319149,0.7321428571428571
moran,direct,1,euclidean,90,none,5,0.8439849624060152,0.9090909090909091,0.7142857142857143
moran,direct,1,euclidean,90,none,6,0.831766917293233,0.8863636363636364,0.6964285714285714
moran,direct,1,euclidean,120,none,2,0.8397556390977444,0.8367346938775511,0.7321428571428571
moran,direct,1,euclidean,120,none,3,0.831766917293233,0.8863636363636364,0.6964285714285714
moran,direct,1,euclidean,120,none,4,0.8496240601503758,0.8913043478260869,0.7321428571428571
moran,direct,1,euclidean,120,none,5,0.8115601503759399,0.9230769230769231,0.6428571428571429
moran,direct,1,euclidean,120,none,6,0.8472744360902257,0.9302325581395349,0.7142857142857143
moran,direct,1,euclidean,150,none,2,0.8186090225563909,0.8125,0.6964285714285714
moran,direct,1,euclidean,150,none,3,0.8007518796992481,0.8043478260869565,0.6607142857142857
moran,direct,1,euclidean,150,none,4,0.8218984962406015,0.8297872340425532,0.6964285714285714
moran,direct,1,euclidean,150,none,5,0.7951127819548872,0.8181818181818182,0.6428571428571429
moran,direct,1,euclidean,150,none,6,0.7984022556390977,0.8372093023255814,0.6428571428571429
moran,direct,1,euclidean,30,row,2,0.712406015037594,0.5689655172413793,0.5892857142857143
moran,direct,1,euclidean,30,row,3,0.8223684210526316,0.7241379310344828,0.75
moran,direct,1,euclidean,30,row,4,0.7824248120300752,0.6610169491525424,0.6964285714285714
moran,direct,1,euclidean,30,row,5,0.8021616541353384,0.7358490566037735,0.6964285714285714
moran,direct,1,euclidean,30,row,6,0.7955827067669172,0.7090909090909091,0.6964285714285714
moran,direct,1,euclidean,60,row,2,0.8411654135338346,0.7678571428571429,0.7678571428571429
moran,direct,1,euclidean,60,row,3,0.8218984962406015,0.8297872340425532,0.6964285714285714
