C-1,270,800,0.09,0.047,0.084
C-2,270,1200,0.13,4.954,2.734
C-3,300,1000,0.11,0.044,0.041
C-4,330,1200,0.09,0.027,0.037
C-5,300,1000,0.11,0.073,0.151
C-6,330,800,0.13,0.032,0.043
C-7,270,1200,0.09,0.142,0.016
C-8,330,1200,0.13,1.201,2.563
C-9,300,1000,0.11,0.128,0.031
C-10,270,800,0.13,0.079,0.040
C-11,330,800,0.09,0.029,0.036
C-12,300,1000,0.11,0.099,0.076
C-13,300,1000,0.11,0.077,0.026
C-14,300,1000,0.14,0.601,0.495
C-15,300,673,0.11,0.041,0.063
C-16,300,1327,0.11,0.375,0.289
C-17,349,1000,0.11,0.012,0.020
C-18,300,1000,0.11,0.048,0.051
C-19,251,1000,0.11,0.142,0.052
C-20,300,1000,0.08,0.340,0.030
