type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,grid,5,True,5,0.8714763519879405,0.6138888888888889,0.3235294117647059,0.6111111111111112
scatter,none,1,grid,5,True,10,0.8736762766157906,0.6055555555555556,0.3142857142857143,0.6111111111111112
scatter,none,1,grid,5,True,15,0.8820275108347466,0.5805555555555556,0.2894736842105263,0.6111111111111112
scatter,none,1,grid,10,True,5,0.9698134539287734,0.7249999999999999,0.48,0.6666666666666666
scatter,none,1,grid,10,True,10,0.9701724137931034,0.75,0.5454545454545454,0.6666666666666666
scatter,none,1,grid,10,True,15,0.9695750895044281,0.75,0.5454545454545454,0.6666666666666666
scatter,none,1,grid,20,True,5,0.9861352930092331,0.7833333333333333,0.6666666666666666,0.6666666666666666
scatter,none,1,grid,20,True,10,0.9873968343697005,0.7583333333333333,0.5714285714285714,0.6666666666666666
scatter,none,1,grid,20,True,15,0.9865545505935556,0.7583333333333333,0.5714285714285714,0.6666666666666666
scatter,none,1,grid,5,False,5,0.8745684944413039,0.5861111111111111,0.30303030303030304,0.5555555555555556
scatter,none,1,grid,5,False,10,0.8805417373280573,0.5777777777777778,0.29411764705882354,0.5555555555555556
scatter,none,1,grid,5,False,15,0.8816110797060486,0.5722222222222222,0.28205128205128205,0.6111111111111112
scatter,none,1,grid,10,False,5,0.9638694177501413,0.7305555555555556,0.55,0.6111111111111112
scatter,none,1,grid,10,False,10,0.9600895044281138,0.7555555555555556,0.6470588235294118,0.6111111111111112
scatter,none,1,grid,10,False,15,0.9560778217448652,0.7555555555555556,0.6470588235294118,0.6111111111111112
scatter,none,1,grid,20,False,5,0.9974853966459394,0.7249999999999999,0.75,0.5
scatter,none,1,grid,20,False,10,0.9873318258903335,0.7333333333333333,0.8181818181818182,0.5
scatter,none,1,grid,20,False,15,0.9791633691351047,0.7333333333333333,0.8181818181818182,0.5
scatter,none,3,grid,5,True,5,0.9299849255700018,0.7694444444444444,0.5416666666666666,0.7222222222222222
scatter,none,3,grid,5,True,10,0.9450960994912379,0.7611111111111112,0.52,0.7222222222222222
scatter,none,3,grid,5,True,15,0.9481788204258527,0.7777777777777779,0.5652173913043478,0.7222222222222222
scatter,none,3,grid,10,True,5,0.951726964386659,0.7388888888888889,0.5789473684210527,0.6111111111111112
scatter,none,3,grid,10,True,10,0.9542519314113435,0.7666666666666666,0.6,0.6666666666666666
scatter,none,3,grid,10,True,15,0.9502298850574713,0.7805555555555556,0.5185185185185185,0.7777777777777778
scatter,none,3,grid,20,True,5,0.9642688901450913,0.7861111111111112,0.5909090909090909,0.7222222222222222
scatter,none,3,grid,20,True,10,0.979185038628227,0.8111111111111111,0.6842105263157895,0.7222222222222222
scatter,none,3,grid,20,True,15,0.969832296966271,0.8111111111111111,0.6842105263157895,0.7222222222222222
scatter,none,3,grid,5,False,5,0.9185189372526852,0.7861111111111112,0.5909090909090909,0.7222222222222222
scatter,none,3,grid,5,False,10,0.934727718108159,0.7111111111111112,0.5555555555555556,0.5555555555555556
scatter,none,3,grid,5,False,15,0.9425522894290561,0.7111111111111112,0.5555555555555556,0.5555555555555556
scatter,none,3,grid,10,False,5,0.9538458639532694,0.7749999999999999,0.631578947368421,0.6666666666666666
scatter,none,3,grid,10,False,10,0.9561974750329754,0.7833333333333333,0.6666666666666666,0.6666666666666666
scatter,none,3,grid,10,False,15,0.9498445449406445,0.7583333333333333,0.5714285714285714,0.6666666666666666
scatter,none,3,grid,20,False,5,0.9827708686640287,0.8111111111111111,0.6842105263157895,0.7222222222222222
scatter,none,3,grid,20,False,10,0.9849434708875071,0.7833333333333333,0.6666666666666666,0.6666666666666666
scatter,none,3,grid,20,False,15,0.9757471264367815,0.8111111111111111,0.6842105263157895,0.7222222222222222
scatter,none,5,grid,5,True,5,0.8919502543810062,0.7416666666666666,0.5217391304347826,0.6666666666666666
scatter,none,5,grid,5,True,10,0.9103420011305822,0.7638888888888888,0.6875,0.6111111111111112
scatter,none,5,grid,5,True,15,0.9121669493122291,0.7194444444444444,0.5882352941176471,0.5555555555555556
scatter,none,5,grid,10,True,5,0.9277369511965329,0.8111111111111111,0.6842105263157895,0.7222222222222222
scatter,none,5,grid,10,True,10,0.9339805916713775,0.8194444444444444,0.7222222222222222,0.7222222222222222
scatter,none,5,grid,10,True,15,0.9430827209346146,0.8111111111111111,0.6842105263157895,0.7222222222222222
scatter,none,5,grid,20,True,5,0.9560062182023742,0.8194444444444444,0.7222222222222222,0.7222222222222222
scatter,none,5,grid,20,True,10,0.9533606557377048,0.8194444444444444,0.7222222222222222,0.7222222222222222
scatter,none,5,grid,20,True,15,0.9575127190503109,0.8111111111111111,0.6842105263157895,0.7222222222222222
scatter,none,5,grid,5,False,5,0.8923054456378369,0.7583333333333333,0.5714285714285714,0.6666666666666666
scatter,none,5,grid,5,False,10,0.9128066704352742,0.7277777777777779,0.625,0.5555555555555556
