type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,grid,5,True,5,0.8124768089053802,0.49838056680161935,0.225,0.47368421052631576
scatter,none,1,grid,5,True,10,0.8148886827458256,0.5032388663967611,0.25,0.05263157894736842
scatter,none,1,grid,5,True,15,0.8091682127396413,0.4910931174089068,0.2,0.10526315789473684
scatter,none,1,grid,10,True,5,0.8315862708719852,0.6676113360323886,0.5,0.47368421052631576
scatter,none,1,grid,10,True,10,0.8519789734075449,0.6676113360323886,0.5,0.47368421052631576
scatter,none,1,grid,10,True,15,0.8501855287569574,0.7016194331983805,0.5555555555555556,0.5263157894736842
scatter,none,1,grid,20,True,5,0.8881880024737168,0.7850202429149797,0.75,0.631578947368421
scatter,none,1,grid,20,True,10,0.8911564625850339,0.7323886639676113,0.7142857142857143,0.5263157894736842
scatter,none,1,grid,20,True,15,0.9301948051948052,0.7246963562753036,0.6666666666666666,0.5263157894736842
scatter,none,1,grid,5,False,5,0.7746289424860854,0.5295546558704453,0.4,0.10526315789473684
scatter,none,1,grid,5,False,10,0.8020562770562769,0.5404858299595142,0.375,0.15789473684210525
scatter,none,1,grid,5,False,15,0.8159709338280766,0.5251012145748988,0.3,0.15789473684210525
scatter,none,1,grid,10,False,5,0.7729746444032157,0.6643724696356275,0.5714285714285714,0.42105263157894735
scatter,none,1,grid,10,False,10,0.8533240568954856,0.6040485829959514,0.46153846153846156,0.3157894736842105
scatter,none,1,grid,10,False,15,0.8794836116264687,0.682995951417004,0.5625,0.47368421052631576
scatter,none,1,grid,20,False,5,0.8561533704390847,0.6939271255060728,0.5263157894736842,0.5263157894736842
scatter,none,1,grid,20,False,10,0.850803957946815,0.7137651821862347,0.75,0.47368421052631576
scatter,none,1,grid,20,False,15,0.850355596784168,0.7137651821862347,0.75,0.47368421052631576
scatter,none,3,grid,5,True,5,0.5824211502782931,0.659919028340081,0.47368421052631576,0.47368421052631576
scatter,none,3,grid,5,True,10,0.6794681508967223,0.6271255060728745,0.6,0.3157894736842105
scatter,none,3,grid,5,True,15,0.7673314780457637,0.7016194331983805,0.5555555555555556,0.5263157894736842
scatter,none,3,grid,10,True,5,0.6959647495361782,0.7157894736842105,0.48,0.631578947368421
scatter,none,3,grid,10,True,10,0.7359616573902288,0.6271255060728745,0.6,0.3157894736842105
scatter,none,3,grid,10,True,15,0.8021026592455165,0.7016194331983805,0.5555555555555556,0.5263157894736842
scatter,none,3,grid,20,True,5,0.7976190476190477,0.8376518218623482,0.7777777777777778,0.7368421052631579
scatter,none,3,grid,20,True,10,0.806029684601113,0.7587044534412956,0.7333333333333333,0.5789473684210527
scatter,none,3,grid,20,True,15,0.8419294990723563,0.7991902834008098,0.6086956521739131,0.7368421052631579
scatter,none,3,grid,5,False,5,0.6246907854050712,0.7016194331983805,0.5555555555555556,0.5263157894736842
scatter,none,3,grid,5,False,10,0.6965677179962894,0.6348178137651822,0.6666666666666666,0.3157894736842105
scatter,none,3,grid,5,False,15,0.7661100803957946,0.6753036437246963,0.5294117647058824,0.47368421052631576
scatter,none,3,grid,10,False,5,0.6203927025355597,0.6862348178137652,0.5,0.5263157894736842
scatter,none,3,grid,10,False,10,0.6931508967223252,0.6348178137651822,0.6666666666666666,0.3157894736842105
scatter,none,3,grid,10,False,15,0.7684446505875078,0.6753036437246963,0.5294117647058824,0.47368421052631576
scatter,none,3,grid,20,False,5,0.7829004329004329,0.8036437246963563,0.7222222222222222,0.6842105263157895
scatter,none,3,grid,20,False,10,0.7939857761286333,0.7246963562753036,0.6666666666666666,0.5263157894736842
scatter,none,3,grid,20,False,15,0.8142702535559678,0.814574898785425,0.6666666666666666,0.7368421052631579
scatter,none,5,grid,5,True,5,0.6291280148423006,0.682995951417004,0.5625,0.47368421052631576
scatter,none,5,grid,5,True,10,0.7296846011131726,0.5744939271255061,0.5,0.21052631578947367
scatter,none,5,grid,5,True,15,0.7739022881880023,0.6643724696356275,0.5714285714285714,0.42105263157894735
scatter,none,5,grid,10,True,5,0.6528911564625851,0.6906882591093118,0.6,0.47368421052631576
scatter,none,5,grid,10,True,10,0.7441094619666048,0.5931174089068826,0.5,0.2631578947368421
scatter,none,5,grid,10,True,15,0.7580241187384044,0.7323886639676113,0.7142857142857143,0.5263157894736842
